OneConnect Financial Technology Price to Free Cash Flow Ratio Historical Data,OneConnect Financial Technology Price to Free Cash Flow Ratio Historical Data,OneConnect Financial Technology Price to Free Cash Flow Ratio Historical Data,OneConnect Financial Technology Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,6.7,,0.0
2024-09-30,2.8,$-0.69,0.0
2024-06-30,1.58,$-1.19,0.0
2024-03-31,2.22,$-0.52,0.0
2023-12-31,3.23,$-2.54,0.0
2023-09-30,3.13,$-2.56,0.0
2023-06-30,3.3,$-2.31,0.0
2023-03-31,5.32,$-0.76,0.0
2022-12-31,5.31,$-3.09,0.0
2022-09-30,7.22,$-6.85,0.0
2022-06-30,17.1,$-0.09,0.0
2022-03-31,14.1,$-6.68,0.0
2021-12-31,24.7,$-1.88,0.0
2021-09-30,41.0,$-1.65,0.0
2021-06-30,120.2,$-3.45,0.0
2021-03-31,147.8,$4.35,33.98
2020-12-31,197.1,$-2.97,0.0
2020-09-30,213.0,$-9.20,0.0
