Research Solutions Price to Free Cash Flow Ratio Historical Data,Research Solutions Price to Free Cash Flow Ratio Historical Data,Research Solutions Price to Free Cash Flow Ratio Historical Data,Research Solutions Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,2.85,,14.32
2024-12-31,4.15,$0.20,20.85
2024-09-30,2.73,$0.18,15.59
2024-06-30,2.55,$0.12,21.16
2024-03-31,3.16,$0.10,32.11
2023-12-31,2.6,$0.06,43.48
2023-09-30,2.5,$0.08,30.67
2023-06-30,2.04,$0.11,17.82
2023-03-31,2.01,$0.06,33.06
2022-12-31,1.92,$0.03,58.18
2022-09-30,2.04,$-0.01,0.0
2022-06-30,1.78,$-0.02,0.0
2022-03-31,2.13,$-0.03,0.0
2021-12-31,2.46,$0.02,101.23
2021-09-30,2.62,$0.03,78.21
2021-06-30,2.86,$0.07,40.23
2021-03-31,2.32,$0.13,17.83
2020-12-31,2.33,$0.13,17.72
