Acacia Research Price to Free Cash Flow Ratio Historical Data,Acacia Research Price to Free Cash Flow Ratio Historical Data,Acacia Research Price to Free Cash Flow Ratio Historical Data,Acacia Research Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,3.45,,0.0
2024-12-31,4.34,$-0.99,0.0
2024-09-30,4.66,$-0.81,0.0
2024-06-30,5.01,$-0.64,0.0
2024-03-31,5.33,$0.35,15.17
2023-12-31,3.92,$-0.25,0.0
2023-09-30,3.65,$-0.88,0.0
2023-06-30,4.16,$-0.82,0.0
2023-03-31,3.86,$-0.88,0.0
2022-12-31,4.21,$-0.90,0.0
2022-09-30,4.04,$0.04,112.22
2022-06-30,5.04,$-0.18,0.0
2022-03-31,4.51,$0.19,23.45
2021-12-31,5.13,$0.13,38.17
2021-09-30,6.79,$-0.50,0.0
2021-06-30,6.76,$-0.29,0.0
2021-03-31,6.65,$-0.42,0.0
2020-12-31,3.94,$-0.35,0.0
2020-09-30,3.47,$0.03,116.44
2020-06-30,4.09,$-0.15,0.0
2020-03-31,2.22,$-0.06,0.0
2019-12-31,2.66,$-0.05,0.0
2019-09-30,2.68,$0.25,10.88
2019-06-30,2.96,$0.18,16.53
2019-03-31,3.26,$-0.61,0.0
2018-12-31,2.98,$0.42,7.14
2018-09-30,3.2,$-0.28,0.0
2018-06-30,4.15,$0.55,7.5
2018-03-31,3.5,$1.26,2.77
2017-12-31,4.05,$0.26,15.84
2017-09-30,4.55,$0.91,4.99
2017-06-30,4.1,$-0.18,0.0
2017-03-31,5.75,$0.44,13.12
2016-12-31,6.5,$0.68,9.56
2016-09-30,6.52,$0.21,30.44
2016-06-30,4.4,$0.69,6.42
2016-03-31,3.79,$0.34,11.05
2015-12-31,4.29,$-0.20,0.0
2015-09-30,8.91,$-0.16,0.0
2015-06-30,8.49,$-0.03,0.0
2015-03-31,10.25,$0.19,54.85
2014-12-31,16.06,$0.08,191.89
2014-09-30,14.57,$0.31,47.43
2014-06-30,16.59,$-0.47,0.0
2014-03-31,14.17,$-0.86,0.0
2013-12-31,13.38,$-0.09,0.0
2013-09-30,21.04,$0.64,32.81
2013-06-30,20.28,$1.27,15.96
2013-03-31,27.23,$1.47,18.54
2012-12-31,23.16,$2.19,10.56
2012-09-30,24.74,$1.92,12.9
2012-06-30,33.61,$2.21,15.23
2012-03-31,37.67,$1.57,23.92
2011-12-31,32.95,$1.50,21.91
2011-09-30,32.48,$1.44,22.54
2011-06-30,33.12,$1.36,24.38
2011-03-31,31.0,$1.71,18.18
2010-12-31,23.41,$1.28,18.31
2010-09-30,15.89,$1.21,13.17
2010-06-30,12.84,$0.74,17.38
2010-03-31,9.78,$1.02,9.58
2009-12-31,8.22,$0.54,15.32
