B.O.S Better Online Solutions Price to Free Cash Flow Ratio Historical Data,B.O.S Better Online Solutions Price to Free Cash Flow Ratio Historical Data,B.O.S Better Online Solutions Price to Free Cash Flow Ratio Historical Data,B.O.S Better Online Solutions Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,3.85,,15.28
2024-09-30,2.95,$0.25,11.71
2024-06-30,2.81,$0.16,18.07
2024-03-31,3.05,$0.25,12.1
2023-12-31,2.64,$0.25,10.48
2023-09-30,3.59,$-0.20,0.0
2023-06-30,3.37,$0.03,96.7
2023-03-31,2.67,$-0.20,0.0
2022-12-31,2.09,$-0.20,0.0
2022-09-30,2.21,$-0.07,0.0
2022-06-30,2.19,$-0.06,0.0
2022-03-31,3.02,$-0.07,0.0
2021-12-31,2.94,$-0.07,0.0
2021-09-30,3.5,$0.25,14.03
2021-06-30,3.84,$0.18,20.89
2021-03-31,3.62,$0.25,14.51
2020-12-31,2.27,$0.25,9.1
2020-09-30,2.43,$-0.31,0.0
2020-06-30,2.91,$-0.29,0.0
2020-03-31,1.78,$-0.31,0.0
2019-12-31,1.99,$-0.31,0.0
2019-09-30,2.3,$0.02,149.35
2019-06-30,2.84,$-0.04,0.0
2019-03-31,2.91,$0.02,188.96
2018-12-31,2.17,$0.02,140.91
2018-09-30,2.44,$0.02,124.68
2018-06-30,2.31,$-0.17,0.0
2018-03-31,2.23,$0.02,113.78
2017-12-31,2.19,$0.02,111.73
2017-09-30,1.83,$-0.19,0.0
2017-06-30,1.78,$-0.06,0.0
2017-03-31,2.15,$-0.19,0.0
2016-12-31,2.12,$-0.19,0.0
2016-09-30,2.25,$0.15,14.58
2016-06-30,3.02,$0.19,16.12
2016-03-31,2.03,$0.15,13.16
2015-12-31,1.95,$0.15,12.64
2015-09-30,2.31,$0.73,3.18
2015-06-30,2.59,$0.73,3.57
2015-03-31,2.07,$0.73,2.85
2014-12-31,3.16,$0.73,4.35
2014-09-30,4.23,$0.68,6.22
2014-06-30,3.97,$0.88,4.51
2014-03-31,6.56,$0.67,9.78
2013-12-31,7.75,$1.09,7.14
2013-09-30,3.68,$0.67,5.45
2013-06-30,2.76,$0.63,4.4
2013-03-31,3.2,$1.89,1.69
2012-12-31,4.51,$1.48,3.05
2012-09-30,2.16,$0.32,6.76
2012-06-30,3.2,$-0.10,0.0
2012-03-31,4.0,$0.31,12.95
2011-12-31,4.0,$-1.02,0.0
2011-09-30,4.44,$0.32,13.91
2011-06-30,9.76,$1.41,6.93
2011-03-31,10.72,$0.37,28.86
2010-12-31,6.6,$1.70,3.87
2010-09-30,11.56,$-0.23,0.0
2010-06-30,3.88,$0.52,7.49
2010-03-31,5.52,$-2.44,0.0
2009-12-31,5.64,$-2.44,0.0
