Church & Dwight Price to Free Cash Flow Ratio Historical Data,Church & Dwight Price to Free Cash Flow Ratio Historical Data,Church & Dwight Price to Free Cash Flow Ratio Historical Data,Church & Dwight Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,108.07,,27.14
2024-12-31,104.71,$3.98,26.3
2024-09-30,104.45,$3.60,29.03
2024-06-30,103.12,$3.20,32.21
2024-03-31,103.47,$3.13,33.01
2023-12-31,93.52,$3.26,28.69
2023-09-30,90.36,$3.80,23.75
2023-06-30,98.56,$3.56,27.65
2023-03-31,86.69,$3.32,26.13
2022-12-31,78.78,$2.87,27.47
2022-09-30,69.58,$2.92,23.84
2022-06-30,89.97,$3.40,26.43
2022-03-31,96.24,$3.77,25.56
2021-12-31,99.0,$3.51,28.24
2021-09-30,79.52,$2.96,26.88
2021-06-30,81.83,$2.48,33.01
2021-03-31,83.64,$2.95,28.31
2020-12-31,83.27,$3.56,23.38
2020-09-30,89.21,$3.82,23.38
2020-06-30,73.4,$4.13,17.78
2020-03-31,60.75,$3.54,17.16
2019-12-31,66.37,$3.14,21.16
2019-09-30,70.75,$2.95,23.99
2019-06-30,68.5,$2.89,23.74
2019-03-31,66.58,$2.72,24.44
2018-12-31,61.25,$2.80,21.84
2018-09-30,55.11,$3.05,18.09
2018-06-30,49.15,$2.77,17.77
2018-03-31,46.35,$2.57,18.02
2017-12-31,45.97,$2.49,18.5
2017-09-30,44.21,$2.11,20.93
2017-06-30,47.16,$2.18,21.63
2017-03-31,45.16,$2.16,20.88
2016-12-31,39.86,$2.31,17.26
2016-09-30,43.06,$2.45,17.56
2016-06-30,46.14,$2.30,20.08
2016-03-31,41.26,$2.23,18.54
2015-12-31,37.92,$2.04,18.61
2015-09-30,37.33,$1.70,21.94
2015-06-30,35.96,$1.82,19.74
2015-03-31,37.71,$1.82,20.71
2014-12-31,34.65,$1.71,20.28
2014-09-30,30.72,$1.68,18.33
2014-06-30,30.48,$1.72,17.69
2014-03-31,29.96,$1.65,18.12
2013-12-31,28.61,$1.53,18.68
2013-09-30,25.87,$1.86,13.89
2013-06-30,26.52,$1.55,17.13
2013-03-31,27.72,$1.45,19.08
2012-12-31,22.92,$1.57,14.57
2012-09-30,23.04,$1.22,18.84
2012-06-30,23.62,$1.26,18.81
2012-03-31,20.9,$1.33,15.72
2011-12-31,19.39,$1.24,15.66
2011-09-30,18.7,$1.34,13.91
2011-06-30,17.11,$1.41,12.11
2011-03-31,16.73,$1.29,12.92
2010-12-31,14.54,$1.29,11.26
2010-09-30,13.67,$1.05,12.98
2010-06-30,13.19,$0.83,15.83
2010-03-31,14.07,$1.03,13.63
2009-12-31,12.7,$1.03,12.29
