Byline Bancorp Price to Free Cash Flow Ratio Historical Data,Byline Bancorp Price to Free Cash Flow Ratio Historical Data,Byline Bancorp Price to Free Cash Flow Ratio Historical Data,Byline Bancorp Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,26.7,,6.58
2024-12-31,29.0,$4.06,7.15
2024-09-30,26.68,$2.97,8.99
2024-06-30,23.58,$3.99,5.9
2024-03-31,21.49,$4.22,5.09
2023-12-31,23.21,$4.07,5.7
2023-09-30,19.33,$4.82,4.01
2023-06-30,17.67,$4.25,4.16
2023-03-31,21.01,$4.76,4.42
2022-12-31,22.25,$5.87,3.79
2022-09-30,19.54,$5.78,3.38
2022-06-30,22.87,$4.38,5.23
2022-03-31,25.54,$4.14,6.17
2021-12-31,26.09,$2.12,12.28
2021-09-30,23.36,$4.11,5.68
2021-06-30,21.44,$3.54,6.06
2021-03-31,19.99,$2.57,7.78
2020-12-31,14.55,$2.78,5.23
2020-09-30,10.61,$0.38,28.24
2020-06-30,12.28,$2.06,5.96
2020-03-31,9.7,$0.95,10.17
2019-12-31,18.24,$0.70,26.23
2019-09-30,16.64,$0.96,17.29
2019-06-30,17.8,$0.45,39.83
2019-03-31,17.2,$1.91,9.0
2018-12-31,15.51,$2.43,6.37
2018-09-30,21.13,$2.34,9.03
2018-06-30,20.79,$1.53,13.55
2018-03-31,21.34,$1.96,10.9
