Better Choice Price to Free Cash Flow Ratio Historical Data,Better Choice Price to Free Cash Flow Ratio Historical Data,Better Choice Price to Free Cash Flow Ratio Historical Data,Better Choice Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.69,,0.0
2024-09-30,2.09,$-0.15,0.0
2024-06-30,3.9,$0.78,4.99
2024-03-31,6.0,$0.97,6.18
2023-12-31,0.28,$0.11,2.47
2023-09-30,0.12,$-5.13,0.0
2023-06-30,0.21,$-13.12,0.0
2023-03-31,0.37,$-21.49,0.0
2022-12-31,0.54,$-31.11,0.0
2022-09-30,0.8,$-39.19,0.0
2022-06-30,2.2,$-34.63,0.0
2022-03-31,2.55,$-36.32,0.0
