Aquestive Therapeutics Price to Free Cash Flow Ratio Historical Data,Aquestive Therapeutics Price to Free Cash Flow Ratio Historical Data,Aquestive Therapeutics Price to Free Cash Flow Ratio Historical Data,Aquestive Therapeutics Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,3.11,,0.0
2024-12-31,3.56,$-0.41,0.0
2024-09-30,4.98,$-0.41,0.0
2024-06-30,2.6,$-0.31,0.0
2024-03-31,4.26,$-0.38,0.0
2023-12-31,2.02,$-0.12,0.0
2023-09-30,1.53,$0.10,15.28
2023-06-30,1.65,$0.26,6.37
2023-03-31,1.14,$0.25,4.58
2022-12-31,0.9,$-0.22,0.0
2022-09-30,1.17,$-0.61,0.0
2022-06-30,0.64,$-0.93,0.0
2022-03-31,2.61,$-0.84,0.0
2021-12-31,3.89,$-0.89,0.0
2021-09-30,4.36,$-1.05,0.0
2021-06-30,3.97,$-1.09,0.0
2021-03-31,5.2,$-1.36,0.0
2020-12-31,5.35,$-1.37,0.0
2020-09-30,4.86,$-1.35,0.0
2020-06-30,4.86,$-1.70,0.0
2020-03-31,2.19,$-2.09,0.0
2019-12-31,5.82,$-2.40,0.0
2019-09-30,3.18,$-2.23,0.0
2019-06-30,4.2,$-2.13,0.0
