HNI Price to Free Cash Flow Ratio Historical Data,HNI Price to Free Cash Flow Ratio Historical Data,HNI Price to Free Cash Flow Ratio Historical Data,HNI Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,43.74,,12.21
2024-12-31,50.37,$3.58,14.06
2024-09-30,53.52,$4.76,11.25
2024-06-30,44.47,$4.56,9.75
2024-03-31,44.25,$3.89,11.36
2023-12-31,40.72,$4.15,9.81
2023-09-30,33.43,$2.77,12.09
2023-06-30,26.92,$1.65,16.31
2023-03-31,26.29,$1.56,16.81
2022-12-31,26.57,$0.30,87.61
2022-09-30,24.51,$0.20,122.61
2022-06-30,31.78,$-0.02,0.0
2022-03-31,33.66,$0.55,61.7
2021-12-31,37.92,$1.48,25.67
2021-09-30,32.87,$2.35,14.0
2021-06-30,39.04,$3.97,9.84
2021-03-31,34.88,$4.71,7.41
2020-12-31,30.12,$4.02,7.5
2020-09-30,27.2,$4.58,5.94
2020-06-30,26.25,$4.24,6.2
2020-03-31,21.32,$3.49,6.11
2019-12-31,31.46,$3.51,8.97
2019-09-30,29.58,$2.79,10.59
2019-06-30,29.19,$2.39,12.23
2019-03-31,29.69,$2.88,10.3
2018-12-31,28.79,$3.30,8.71
2018-09-30,35.67,$3.21,11.1
2018-06-30,29.79,$2.68,11.1
2018-03-31,28.67,$1.10,26.02
2017-12-31,30.42,$0.33,92.39
2017-09-30,32.44,$0.75,43.28
2017-06-30,30.93,$0.82,37.86
2017-03-31,35.52,$1.94,18.35
2016-12-31,42.84,$2.30,18.59
2016-09-30,30.32,$2.53,11.99
2016-06-30,35.24,$2.61,13.51
2016-03-31,29.5,$1.98,14.9
2015-12-31,26.94,$1.33,20.21
2015-09-30,31.85,$0.93,34.33
2015-06-30,37.77,$0.75,50.48
2015-03-31,40.52,$0.89,45.77
2014-12-31,37.32,$1.57,23.81
2014-09-30,26.16,$1.41,18.59
2014-06-30,28.24,$2.03,13.9
2014-03-31,26.22,$1.87,14.02
2013-12-31,27.65,$1.88,14.69
2013-09-30,25.6,$1.69,15.16
2013-06-30,25.36,$1.16,21.85
2013-03-31,24.79,$1.76,14.12
2012-12-31,20.84,$1.87,11.15
2012-09-30,17.53,$2.05,8.56
2012-06-30,17.54,$2.41,7.29
2012-03-31,18.7,$2.02,9.26
2011-12-31,17.44,$2.33,7.49
2011-09-30,12.66,$1.89,6.68
2011-06-30,16.41,$1.24,13.25
2011-03-31,20.43,$1.58,12.91
2010-12-31,20.04,$1.53,13.13
2010-09-30,18.32,$1.89,9.68
2010-06-30,17.42,$2.89,6.03
2010-03-31,16.69,$3.39,4.92
2009-12-31,17.16,$4.06,4.22
