Artisan Partners Asset Management Price to Free Cash Flow Ratio Historical Data,Artisan Partners Asset Management Price to Free Cash Flow Ratio Historical Data,Artisan Partners Asset Management Price to Free Cash Flow Ratio Historical Data,Artisan Partners Asset Management Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,40.42,,7.13
2024-12-31,43.05,$5.67,7.6
2024-09-30,42.57,$4.90,8.69
2024-06-30,39.86,$4.41,9.04
2024-03-31,43.62,$4.24,10.28
2023-12-31,41.08,$3.85,10.67
2023-09-30,34.2,$4.09,8.36
2023-06-30,35.34,$4.16,8.5
2023-03-31,28.3,$3.53,8.01
2022-12-31,25.64,$4.69,5.47
2022-09-30,22.87,$4.54,5.04
2022-06-30,29.74,$5.63,5.28
2022-03-31,32.19,$6.33,5.09
2021-12-31,37.32,$6.56,5.69
2021-09-30,37.52,$7.06,5.32
2021-06-30,38.24,$6.31,6.06
2021-03-31,38.59,$6.68,5.78
2020-12-31,36.34,$5.67,6.41
2020-09-30,27.63,$5.88,4.7
2020-06-30,22.63,$5.72,3.95
2020-03-31,14.63,$5.85,2.5
2019-12-31,21.26,$5.38,3.95
2019-09-30,18.16,$4.83,3.76
2019-06-30,17.29,$4.97,3.48
2019-03-31,15.48,$4.80,3.23
2018-12-31,12.76,$6.54,1.95
2018-09-30,18.29,$5.63,3.25
2018-06-30,16.71,$5.49,3.04
2018-03-31,18.12,$5.58,3.25
2017-12-31,20.63,$4.93,4.18
2017-09-30,16.75,$6.15,2.72
2017-06-30,15.47,$6.45,2.4
2017-03-31,13.61,$6.76,2.01
2016-12-31,14.22,$6.90,2.06
2016-09-30,12.72,$7.27,1.75
2016-06-30,12.67,$7.72,1.64
2016-03-31,13.84,$7.96,1.74
2015-12-31,15.54,$8.86,1.75
2015-09-30,14.94,$10.05,1.49
2015-06-30,19.45,$10.02,1.94
2015-03-31,18.78,$9.14,2.05
2014-12-31,20.17,$12.43,1.62
2014-09-30,20.56,$10.82,1.9
2014-06-30,22.16,$13.25,1.67
2014-03-31,24.87,$17.03,1.46
2013-12-31,24.33,$7.91,3.08
