Jiayin Group Price to Free Cash Flow Ratio Historical Data,Jiayin Group Price to Free Cash Flow Ratio Historical Data,Jiayin Group Price to Free Cash Flow Ratio Historical Data,Jiayin Group Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,12.02,,12.72
2024-09-30,6.89,$0.94,7.29
2024-06-30,5.66,$0.94,5.99
2024-03-31,5.97,$0.94,6.32
2023-12-31,4.44,$0.94,4.69
2023-09-30,4.61,$0.31,14.73
2023-06-30,4.27,$0.31,13.63
2023-03-31,3.01,$0.31,9.63
2022-12-31,1.86,$0.31,5.94
2022-09-30,1.75,$0.53,3.32
2022-06-30,1.81,$0.53,3.43
2022-03-31,2.23,$0.53,4.22
2021-12-31,1.78,$0.53,3.37
2021-09-30,3.01,$-0.10,0.0
2021-06-30,4.27,$-0.10,0.0
2021-03-31,6.66,$-0.10,0.0
2020-12-31,2.46,$-0.10,0.0
2020-09-30,2.69,$-0.00,0.0
2020-06-30,3.16,$-0.00,0.0
2020-03-31,2.06,$-0.00,0.0
