Verastem Price to Free Cash Flow Ratio Historical Data,Verastem Price to Free Cash Flow Ratio Historical Data,Verastem Price to Free Cash Flow Ratio Historical Data,Verastem Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,6.82,,0.0
2024-09-30,2.99,$-3.78,0.0
2024-06-30,2.98,$-3.74,0.0
2024-03-31,11.8,$-3.76,0.0
2023-12-31,8.14,$-3.92,0.0
2023-09-30,8.13,$-3.20,0.0
2023-06-30,7.44,$-4.15,0.0
2023-03-31,4.98,$-3.92,0.0
2022-12-31,4.83,$-3.95,0.0
2022-09-30,10.2,$-3.64,0.0
2022-06-30,13.92,$-3.45,0.0
2022-03-31,16.92,$-3.57,0.0
2021-12-31,24.6,$-3.69,0.0
2021-09-30,36.96,$-4.71,0.0
2021-06-30,48.84,$-0.82,0.0
2021-03-31,29.64,$-0.22,0.0
2020-12-31,25.56,$-2.63,0.0
2020-09-30,14.52,$-6.75,0.0
2020-06-30,20.64,$-14.47,0.0
2020-03-31,31.68,$-19.77,0.0
2019-12-31,16.08,$-22.30,0.0
2019-09-30,14.52,$-20.33,0.0
2019-06-30,18.12,$-18.55,0.0
2019-03-31,35.52,$-14.14,0.0
2018-12-31,40.32,$-13.15,0.0
2018-09-30,87.0,$-15.32,0.0
2018-06-30,82.56,$-16.29,0.0
2018-03-31,35.76,$-19.77,0.0
2017-12-31,36.84,$-17.91,0.0
2017-09-30,56.4,$-13.73,0.0
2017-06-30,26.16,$-12.05,0.0
2017-03-31,24.84,$-9.53,0.0
2016-12-31,13.44,$-9.58,0.0
2016-09-30,15.96,$-11.37,0.0
2016-06-30,15.6,$-13.11,0.0
2016-03-31,18.96,$-14.51,0.0
2015-12-31,22.32,$-15.29,0.0
2015-09-30,21.48,$-16.33,0.0
2015-06-30,90.48,$-17.56,0.0
2015-03-31,122.04,$-18.22,0.0
2014-12-31,109.68,$-18.30,0.0
2014-09-30,102.24,$-17.64,0.0
2014-06-30,108.72,$-15.21,0.0
2014-03-31,129.48,$-14.61,0.0
2013-12-31,136.8,$-13.95,0.0
2013-09-30,149.4,$-14.39,0.0
2013-06-30,166.56,$-15.90,0.0
2013-03-31,115.44,$-14.27,0.0
2012-12-31,105.48,$-14.66,0.0
