Anebulo Pharmaceuticals Price to Free Cash Flow Ratio Historical Data,Anebulo Pharmaceuticals Price to Free Cash Flow Ratio Historical Data,Anebulo Pharmaceuticals Price to Free Cash Flow Ratio Historical Data,Anebulo Pharmaceuticals Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.98,,0.0
2024-12-31,1.68,$-0.25,0.0
2024-09-30,1.93,$-0.27,0.0
2024-06-30,2.73,$-0.31,0.0
2024-03-31,2.87,$-0.35,0.0
2023-12-31,2.42,$-0.38,0.0
2023-09-30,3.06,$-0.41,0.0
2023-06-30,2.35,$-0.39,0.0
2023-03-31,2.9,$-0.35,0.0
2022-12-31,2.42,$-0.33,0.0
2022-09-30,2.8,$-0.29,0.0
2022-06-30,5.2,$-0.23,0.0
2022-03-31,7.08,$-0.41,0.0
