CSP Price to Free Cash Flow Ratio Historical Data,CSP Price to Free Cash Flow Ratio Historical Data,CSP Price to Free Cash Flow Ratio Historical Data,CSP Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,17.32,,38.9
2024-12-31,16.07,$0.45,36.1
2024-09-30,12.99,$0.44,29.24
2024-06-30,14.87,$1.59,9.34
2024-03-31,18.38,$1.28,14.4
2023-12-31,9.69,$1.08,8.97
2023-09-30,8.69,$0.41,21.1
2023-06-30,5.9,$-0.29,0.0
2023-03-31,6.7,$-0.37,0.0
2022-12-31,4.64,$-0.16,0.0
2022-09-30,3.53,$0.29,12.35
2022-06-30,4.45,$0.12,37.36
2022-03-31,3.85,$0.13,30.22
2021-12-31,4.29,$-0.02,0.0
2021-09-30,4.36,$0.21,20.38
2021-06-30,5.16,$-0.02,0.0
2021-03-31,4.25,$0.47,8.95
2020-12-31,3.78,$0.26,14.62
2020-09-30,4.22,$0.00,0.0
2020-06-30,4.04,$0.21,19.4
2020-03-31,3.42,$-0.30,0.0
2019-12-31,6.3,$-0.13,0.0
2019-09-30,6.41,$-0.53,0.0
2019-06-30,7.2,$-0.41,0.0
2019-03-31,5.21,$-0.06,0.0
2018-12-31,4.45,$-0.76,0.0
2018-09-30,5.95,$0.31,19.01
2018-06-30,4.42,$-0.13,0.0
2018-03-31,4.77,$0.33,14.66
2017-12-31,6.95,$0.62,11.26
2017-09-30,4.82,$0.32,15.01
2017-06-30,4.65,$0.85,5.47
2017-03-31,4.45,$0.48,9.22
2016-12-31,4.42,$0.95,4.63
2016-09-30,4.27,$0.57,7.47
2016-06-30,3.35,$0.38,8.88
2016-03-31,2.43,$0.37,6.55
2015-12-31,2.77,$0.16,17.13
2015-09-30,2.14,$-0.43,0.0
2015-06-30,2.67,$-0.40,0.0
2015-03-31,2.57,$-0.10,0.0
2014-12-31,2.73,$0.03,94.08
2014-09-30,2.94,$0.08,38.14
2014-06-30,2.53,$-0.29,0.0
2014-03-31,2.75,$-0.13,0.0
2013-12-31,2.85,$-0.39,0.0
2013-09-30,2.46,$-0.09,0.0
2013-06-30,3.05,$0.54,5.68
2013-03-31,1.98,$0.30,6.73
2012-12-31,2.16,$0.67,3.23
2012-09-30,1.47,$0.85,1.73
2012-06-30,1.28,$0.30,4.2
2012-03-31,1.28,$0.22,5.85
2011-12-31,1.0,$-0.07,0.0
2011-09-30,1.09,$0.17,6.29
2011-06-30,1.36,$-0.05,0.0
2011-03-31,1.42,$0.38,3.8
2010-12-31,1.15,$0.33,3.48
2010-09-30,1.34,$-0.34,0.0
2010-06-30,1.33,$0.20,6.54
2010-03-31,1.12,$-0.35,0.0
2009-12-31,1.14,$-0.16,0.0
