Equus Total Return Price to Free Cash Flow Ratio Historical Data,Equus Total Return Price to Free Cash Flow Ratio Historical Data,Equus Total Return Price to Free Cash Flow Ratio Historical Data,Equus Total Return Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.07,,0.0
2024-09-30,1.36,$-3.64,0.0
2024-06-30,1.32,$-4.07,0.0
2024-03-31,1.46,$-4.23,0.0
2023-12-31,1.45,$-3.80,0.0
2023-09-30,1.48,$-1.50,0.0
2023-06-30,1.52,$-1.04,0.0
2023-03-31,1.56,$-0.85,0.0
2022-12-31,1.43,$-0.57,0.0
2022-09-30,1.64,$-0.36,0.0
2022-06-30,2.61,$-0.35,0.0
2022-03-31,2.57,$-0.32,0.0
2021-12-31,2.38,$1.70,1.4
2021-09-30,2.32,$3.55,0.65
2021-06-30,1.95,$3.60,0.54
2021-03-31,1.95,$3.54,0.55
2020-12-31,2.16,$1.82,1.19
2020-09-30,1.21,$-0.26,0.0
2020-06-30,1.17,$-0.23,0.0
2020-03-31,0.95,$-0.15,0.0
2019-12-31,1.82,$-0.40,0.0
2019-09-30,1.61,$-0.96,0.0
2019-06-30,1.64,$-1.39,0.0
2019-03-31,1.91,$-0.87,0.0
2018-12-31,1.96,$-0.91,0.0
2018-09-30,1.99,$-0.23,0.0
2018-06-30,2.36,$1.41,1.67
2018-03-31,2.38,$1.19,2.0
2017-12-31,2.4,$0.80,2.99
2017-09-30,2.43,$0.87,2.79
2017-06-30,2.36,$-1.85,0.0
2017-03-31,2.49,$-2.07,0.0
2016-12-31,2.01,$-1.57,0.0
2016-09-30,1.86,$-1.43,0.0
2016-06-30,1.78,$0.10,16.97
2016-03-31,1.6,$-1.34,0.0
2015-12-31,1.79,$0.10,17.06
2015-09-30,1.75,$-1.25,0.0
2015-06-30,1.9,$-1.39,0.0
2015-03-31,1.95,$-0.21,0.0
2014-12-31,2.1,$-0.26,0.0
2014-09-30,2.21,$-0.52,0.0
2014-06-30,2.48,$-0.49,0.0
2014-03-31,1.92,$-0.37,0.0
2013-12-31,1.99,$-1.84,0.0
2013-09-30,1.89,$0.97,1.95
2013-06-30,1.91,$1.07,1.79
2013-03-31,2.16,$1.21,1.79
2012-12-31,2.36,$1.29,1.83
2012-09-30,2.19,0,0.0
2012-06-30,2.44,0,0.0
2012-03-31,2.27,0,0.0
2011-12-31,2.24,0,0.0
2011-09-30,1.88,0,0.0
2011-06-30,2.4,$-1.48,0.0
2011-03-31,2.6,$-0.91,0.0
2010-12-31,2.5,0,0.0
2010-09-30,2.38,$1.42,1.68
2010-06-30,2.68,$2.90,0.93
2010-03-31,2.81,$2.33,1.21
2009-12-31,3.2,$1.42,2.26
