Targa Resources Price to Free Cash Flow Ratio Historical Data,Targa Resources Price to Free Cash Flow Ratio Historical Data,Targa Resources Price to Free Cash Flow Ratio Historical Data,Targa Resources Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,199.52,,64.56
2024-12-31,178.5,$3.09,57.76
2024-09-30,147.35,$1.42,103.9
2024-06-30,127.5,$1.92,66.44
2024-03-31,110.17,$1.55,70.97
2023-12-31,84.97,$3.66,23.24
2023-09-30,83.35,$2.68,31.11
2023-06-30,73.54,$3.77,19.48
2023-03-31,70.02,$5.22,13.43
2022-12-31,70.22,$4.53,15.51
2022-09-30,57.35,$6.98,8.21
2022-06-30,56.42,$7.25,7.78
2022-03-31,71.03,$8.08,8.79
2021-12-31,48.87,$7.86,6.21
2021-09-30,45.95,$7.51,6.12
2021-06-30,41.41,$7.66,5.4
2021-03-31,29.49,$5.06,5.83
2020-12-31,24.42,$3.41,7.15
2020-09-30,12.91,$1.36,9.47
2020-06-30,18.36,$-0.72,0.0
2020-03-31,6.27,$-3.19,0.0
2019-12-31,36.18,$-6.40,0.0
2019-09-30,34.78,$-10.36,0.0
2019-06-30,33.22,$-11.17,0.0
2019-03-31,34.38,$-10.42,0.0
2018-12-31,29.19,$-8.79,0.0
2018-09-30,44.81,$-5.12,0.0
2018-06-30,38.69,$-4.20,0.0
2018-03-31,33.75,$-3.74,0.0
2017-12-31,36.45,$-1.73,0.0
2017-09-30,34.84,$-0.58,0.0
2017-06-30,32.66,$0.55,59.57
2017-03-31,42.58,$2.21,19.24
2016-12-31,39.23,$1.78,22.0
2016-09-30,33.66,$3.61,9.31
2016-06-30,28.2,$4.13,6.83
2016-03-31,19.54,$2.71,7.2
2015-12-31,17.02,$4.06,4.19
2015-09-30,31.87,$2.49,12.79
2015-06-30,54.66,$0.73,74.91
2015-03-31,58.23,$-1.06,0.0
2014-12-31,63.88,$-0.01,0.0
2014-09-30,81.55,$-5.54,0.0
2014-06-30,83.16,$-8.18,0.0
2014-03-31,58.79,$-11.42,0.0
2013-12-31,51.87,$-14.99,0.0
2013-09-30,42.61,$-12.60,0.0
2013-06-30,37.28,$-9.56,0.0
2013-03-31,39.09,$-5.24,0.0
2012-12-31,30.16,$-3.70,0.0
2012-09-30,28.5,$0.55,51.35
2012-06-30,23.96,$-1.70,0.0
2012-03-31,25.3,$1.68,15.02
2011-12-31,22.47,$1.14,19.63
2011-09-30,16.28,$4.04,4.02
