Forge Global Holdings Price to Free Cash Flow Ratio Historical Data,Forge Global Holdings Price to Free Cash Flow Ratio Historical Data,Forge Global Holdings Price to Free Cash Flow Ratio Historical Data,Forge Global Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.61,,0.0
2024-12-31,0.93,$-0.23,0.0
2024-09-30,1.31,$-0.22,0.0
2024-06-30,1.46,$-0.21,0.0
2024-03-31,1.93,$-0.21,0.0
2023-12-31,3.43,$-0.24,0.0
2023-09-30,2.03,$-0.34,0.0
2023-06-30,2.43,$-0.40,0.0
2023-03-31,1.75,$-0.14,0.0
2022-12-31,1.73,$-0.52,0.0
2022-09-30,1.75,$-0.43,0.0
2022-06-30,10.41,$-0.45,0.0
2022-03-31,33.88,$-0.29,0.0
2021-12-31,9.84,$0.18,54.24
