SpringWorks Therapeutics Price to Free Cash Flow Ratio Historical Data,SpringWorks Therapeutics Price to Free Cash Flow Ratio Historical Data,SpringWorks Therapeutics Price to Free Cash Flow Ratio Historical Data,SpringWorks Therapeutics Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,51.08,,0.0
2024-12-31,36.13,$-2.43,0.0
2024-09-30,32.04,$-2.94,0.0
2024-06-30,37.67,$-3.44,0.0
2024-03-31,49.22,$-3.68,0.0
2023-12-31,36.5,$-3.65,0.0
2023-09-30,23.12,$-3.75,0.0
2023-06-30,26.22,$-3.19,0.0
2023-03-31,25.74,$-3.22,0.0
2022-12-31,26.01,$-3.22,0.0
2022-09-30,28.53,$-3.18,0.0
2022-06-30,24.62,$-3.43,0.0
2022-03-31,56.44,$-3.28,0.0
2021-12-31,61.98,$-2.68,0.0
2021-09-30,63.44,$-1.31,0.0
2021-06-30,82.41,$-1.10,0.0
2021-03-31,73.57,$-0.80,0.0
2020-12-31,72.52,$-0.76,0.0
2020-09-30,47.67,$-1.39,0.0
2020-06-30,42.0,$-4.41,0.0
