Team Price to Free Cash Flow Ratio Historical Data,Team Price to Free Cash Flow Ratio Historical Data,Team Price to Free Cash Flow Ratio Historical Data,Team Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,14.61,,4.8
2024-12-31,12.68,$3.04,4.17
2024-09-30,15.25,$0.46,33.09
2024-06-30,8.88,$-0.59,0.0
2024-03-31,7.21,$-0.43,0.0
2023-12-31,6.6,$-4.80,0.0
2023-09-30,6.95,$-10.74,0.0
2023-06-30,8.3,$-10.09,0.0
2023-03-31,5.48,$-8.31,0.0
2022-12-31,5.25,$-18.01,0.0
2022-09-30,10.6,$-14.40,0.0
2022-06-30,7.43,$-16.20,0.0
2022-03-31,22.1,$-23.66,0.0
2021-12-31,10.9,$-15.99,0.0
2021-09-30,30.1,$-5.15,0.0
2021-06-30,67.0,$-7.52,0.0
2021-03-31,115.3,$7.33,15.73
2020-12-31,109.0,$11.57,9.42
2020-09-30,55.0,$7.84,7.02
2020-06-30,55.7,$17.66,3.15
2020-03-31,65.0,$7.37,8.82
2019-12-31,159.7,$10.14,15.75
2019-09-30,180.5,$13.46,13.41
2019-06-30,153.2,$12.57,12.19
2019-03-31,175.0,$7.21,24.27
2018-12-31,146.5,$5.75,25.47
2018-09-30,225.0,$-8.60,0.0
2018-06-30,231.0,$-15.66,0.0
2018-03-31,137.5,$-12.67,0.0
2017-12-31,149.0,$-15.84,0.0
2017-09-30,133.5,$-7.63,0.0
2017-06-30,234.5,$-1.94,0.0
2017-03-31,270.5,$4.61,58.72
2016-12-31,392.5,$13.52,29.03
2016-09-30,327.1,$11.17,29.28
2016-06-30,248.3,$5.38,46.19
2016-03-31,303.8,$2.90,104.85
2015-12-31,319.6,$-1.56,0.0
2015-11-30,381.8,$-1.47,0.0
2015-09-30,321.2,$-0.61,0.0
2015-08-31,418.4,$1.74,240.05
2015-06-30,402.5,$7.33,54.91
2015-05-31,398.0,$5.02,79.33
2015-03-31,389.8,$5.80,67.16
2015-02-28,384.0,$-3.27,0.0
2014-11-30,406.1,$-1.03,0.0
2014-08-31,399.1,$6.21,64.26
2014-05-31,419.2,$3.67,114.07
2014-02-28,432.4,$2.56,168.8
2013-11-30,409.2,$3.67,111.35
2013-08-31,390.0,$0.12,3293.92
2013-05-31,360.7,$3.37,107.19
2013-02-28,438.6,$4.27,102.74
2012-11-30,359.2,$3.37,106.74
2012-08-31,312.7,$-0.47,0.0
2012-05-31,266.8,$4.30,62.02
2012-02-29,306.0,$-3.02,0.0
2011-11-30,273.6,$4.30,63.6
2011-08-31,249.4,$4.63,53.84
2011-05-31,230.0,$7.53,30.53
2011-02-28,259.3,$8.49,30.52
2010-11-30,203.6,$7.53,27.02
2010-08-31,146.3,$4.82,30.34
2010-05-31,150.4,$5.18,29.06
2010-02-28,181.3,$7.76,23.36
2009-11-30,164.0,$5.18,31.68
