Lisata Therapeutics Price to Free Cash Flow Ratio Historical Data,Lisata Therapeutics Price to Free Cash Flow Ratio Historical Data,Lisata Therapeutics Price to Free Cash Flow Ratio Historical Data,Lisata Therapeutics Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,2.28,,0.0
2024-12-31,2.98,$-2.32,0.0
2024-09-30,3.0,$-2.30,0.0
2024-06-30,3.47,$-2.42,0.0
2024-03-31,3.12,$-2.30,0.0
2023-12-31,2.73,$-2.48,0.0
2023-09-30,2.14,$-2.95,0.0
2023-06-30,3.7,$-2.97,0.0
2023-03-31,3.25,$-3.77,0.0
2022-12-31,2.53,$-4.14,0.0
2022-09-30,4.63,$-4.75,0.0
2022-06-30,7.95,$-5.57,0.0
2022-03-31,10.83,$-4.61,0.0
2021-12-31,12.62,$-6.05,0.0
2021-09-30,18.3,$-10.40,0.0
2021-06-30,24.15,$-12.06,0.0
2021-03-31,28.95,$-5.44,0.0
2020-12-31,21.45,$-8.59,0.0
2020-09-30,27.0,$-8.94,0.0
2020-06-30,26.7,$-12.41,0.0
2020-03-31,27.0,$-25.20,0.0
2019-12-31,37.65,$-27.42,0.0
2019-09-30,38.85,$-25.97,0.0
2019-06-30,34.2,$-26.79,0.0
2019-03-31,54.3,$-29.44,0.0
2018-12-31,53.4,$-31.13,0.0
2018-09-30,88.5,$-33.33,0.0
2018-06-30,97.05,$-36.26,0.0
2018-03-31,87.6,$-26.86,0.0
2017-12-31,52.65,$-35.12,0.0
2017-09-30,53.7,$-34.13,0.0
2017-06-30,69.75,$-34.93,0.0
2017-03-31,75.45,$-51.16,0.0
2016-12-31,42.45,$-56.71,0.0
2016-09-30,69.6,$-91.97,0.0
2016-06-30,88.5,$-115.11,0.0
2016-03-31,112.5,$-96.72,0.0
2015-12-31,162.0,$-131.18,0.0
2015-09-30,223.5,$-154.78,0.0
2015-06-30,280.5,$-169.32,0.0
2015-03-31,381.0,$-222.94,0.0
2014-12-31,565.5,$-231.38,0.0
2014-09-30,829.5,$-230.88,0.0
2014-06-30,978.0,$-227.24,0.0
2014-03-31,1057.5,$-219.99,0.0
2013-12-31,1023.0,$-217.93,0.0
2013-09-30,1282.5,$-264.53,0.0
2013-06-30,840.0,$-252.85,0.0
2013-03-31,1020.0,$-246.82,0.0
2012-12-31,900.0,$-155.79,0.0
2012-09-30,1035.0,$-121.39,0.0
2012-06-30,735.0,$-121.26,0.0
2012-03-31,570.0,$-115.47,0.0
2011-12-31,765.0,$-363.87,0.0
2011-09-30,975.0,$-594.73,0.0
2011-06-30,2220.0,$-603.85,0.0
2011-03-31,2580.0,$-705.89,0.0
2010-12-31,2115.0,$-721.70,0.0
2010-09-30,3045.0,$144.08,21.13
2010-06-30,2745.0,$-613.51,0.0
2010-03-31,2700.0,"$-1,234.87",0.0
2009-12-31,2325.0,"$-1,238.99",0.0
