Eni SpA Price to Free Cash Flow Ratio Historical Data,Eni SpA Price to Free Cash Flow Ratio Historical Data,Eni SpA Price to Free Cash Flow Ratio Historical Data,Eni SpA Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,31.47,,7.97
2024-09-30,29.75,$3.95,7.54
2024-06-30,29.71,$4.29,6.92
2024-03-31,30.13,$3.82,7.89
2023-12-31,31.77,$4.23,7.51
2023-09-30,29.37,$4.56,6.44
2023-06-30,26.08,$5.35,4.87
2023-03-31,24.96,$5.45,4.58
2022-12-31,25.08,$5.98,4.19
2022-09-30,18.2,$7.36,2.47
2022-06-30,20.12,$6.56,3.06
2022-03-31,23.96,$6.26,3.83
2021-12-31,22.65,$5.38,4.21
2021-09-30,21.91,$2.43,9.02
2021-06-30,19.2,$1.66,11.55
2021-03-31,19.0,$0.86,21.98
2020-12-31,15.84,$0.27,58.11
2020-09-30,11.95,$1.52,7.85
2020-06-30,14.57,$1.22,11.99
2020-03-31,14.26,$2.58,5.53
2019-12-31,22.27,$2.87,7.76
2019-09-30,21.94,$2.91,7.53
2019-06-30,23.06,$4.28,5.39
2019-03-31,23.93,$4.07,5.88
2018-12-31,21.39,$3.90,5.48
2018-09-30,25.57,$4.71,5.42
2018-06-30,24.58,$3.98,6.18
2018-03-31,22.83,$2.67,8.54
2017-12-31,21.44,$2.74,7.82
2017-09-30,21.37,$1.43,14.92
2017-06-30,18.86,$0.21,87.81
2017-03-31,19.97,$-0.33,0.0
2016-12-31,19.67,$-0.85,0.0
2016-09-30,17.61,$-0.47,0.0
2016-06-30,19.12,$-0.23,0.0
2016-03-31,17.34,$0.33,51.81
2015-12-31,17.09,$1.02,16.73
2015-09-30,17.99,$1.64,10.99
2015-06-30,19.85,$2.77,7.17
2015-03-31,18.71,$3.40,5.5
2014-12-31,18.87,$3.33,5.67
2014-09-30,25.54,$1.76,14.53
2014-06-30,28.81,$1.18,24.46
2014-03-31,25.56,$0.25,104.24
2013-12-31,24.7,$0.46,53.73
2013-09-30,23.45,$0.99,23.62
2013-06-30,20.27,$-1.16,0.0
2013-03-31,21.55,$0.86,24.98
2012-12-31,23.59,$1.69,13.97
2012-09-30,21.04,$1.09,19.34
2012-06-30,19.83,$2.88,6.89
2012-03-31,21.11,$2.01,10.49
2011-12-31,18.6,$2.26,8.23
2011-09-30,15.84,$2.09,7.59
2011-06-30,20.57,$2.16,9.52
2011-03-31,20.63,$1.43,14.44
2010-12-31,18.37,$1.94,9.46
2010-09-30,18.13,$1.36,13.36
2010-06-30,14.89,$0.06,259.88
2010-03-31,18.43,$-0.72,0.0
2009-12-31,19.87,$-0.81,0.0
