Green Plains Price to Free Cash Flow Ratio Historical Data,Green Plains Price to Free Cash Flow Ratio Historical Data,Green Plains Price to Free Cash Flow Ratio Historical Data,Green Plains Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,5.26,,0.0
2024-12-31,9.48,$-1.20,0.0
2024-09-30,13.54,$0.85,15.92
2024-06-30,15.86,$1.60,9.92
2024-03-31,23.12,$0.96,23.99
2023-12-31,25.22,$-0.45,0.0
2023-09-30,30.1,$-0.40,0.0
2023-06-30,32.24,$-2.75,0.0
2023-03-31,30.99,$-0.88,0.0
2022-12-31,30.5,$-2.57,0.0
2022-09-30,29.07,$-4.55,0.0
2022-06-30,27.17,$-5.28,0.0
2022-03-31,31.01,$-6.44,0.0
2021-12-31,34.76,$-2.05,0.0
2021-09-30,32.65,$-0.20,0.0
2021-06-30,33.62,$0.48,70.44
2021-03-31,27.07,$1.56,17.31
2020-12-31,13.17,$0.82,16.13
2020-09-30,15.48,$-1.31,0.0
2020-06-30,10.22,$-0.86,0.0
2020-03-31,4.85,$-2.08,0.0
2019-12-31,15.43,$-2.14,0.0
2019-09-30,10.6,$13.80,0.77
2019-06-30,10.78,$14.24,0.76
2019-03-31,16.54,$16.78,0.99
2018-12-31,12.9,$16.24,0.79
2018-09-30,16.8,$-0.18,0.0
2018-06-30,17.75,$-2.10,0.0
2018-03-31,16.21,$-3.77,0.0
2017-12-31,16.15,$-4.51,0.0
2017-09-30,19.17,$-2.58,0.0
2017-06-30,19.42,$0.10,200.99
2017-03-31,23.26,$1.73,13.47
2016-12-31,26.04,$1.10,23.58
2016-09-30,24.38,$0.78,31.15
2016-06-30,18.26,$-1.76,0.0
2016-03-31,14.68,$-2.25,0.0
2015-12-31,20.9,$-1.27,0.0
2015-09-30,17.66,$-1.61,0.0
2015-06-30,24.84,$0.97,25.71
2015-03-31,25.68,$4.12,6.24
2014-12-31,22.21,$4.20,5.28
2014-09-30,33.44,$3.87,8.64
2014-06-30,29.34,$3.63,8.08
2014-03-31,26.71,$1.25,21.42
2013-12-31,17.25,$2.29,7.52
2013-09-30,14.25,$6.82,2.09
2013-06-30,11.8,$6.15,1.92
2013-03-31,10.13,$5.13,1.97
2012-12-31,7.01,$2.53,2.76
2012-09-30,5.19,$0.66,7.87
2012-06-30,5.53,$0.82,6.72
2012-03-31,9.56,$0.93,10.23
2011-12-31,8.65,$1.59,5.44
2011-09-30,8.26,$-0.28,0.0
2011-06-30,9.56,$-1.50,0.0
2011-03-31,10.65,$-2.59,0.0
2010-12-31,9.97,$0.46,21.82
2010-09-30,10.78,$1.69,6.39
2010-06-30,9.05,$2.74,3.3
2010-03-31,12.64,$2.70,4.68
2009-12-31,13.17,$1.58,8.33
