TreeHouse Foods Price to Free Cash Flow Ratio Historical Data,TreeHouse Foods Price to Free Cash Flow Ratio Historical Data,TreeHouse Foods Price to Free Cash Flow Ratio Historical Data,TreeHouse Foods Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,26.37,,10.88
2024-12-31,35.13,$2.42,14.49
2024-09-30,41.98,$-0.85,0.0
2024-06-30,36.64,$-0.20,0.0
2024-03-31,38.95,$-0.10,0.0
2023-12-31,41.45,$0.29,141.66
2023-09-30,43.58,$-2.55,0.0
2023-06-30,50.38,$-5.02,0.0
2023-03-31,50.43,$-3.90,0.0
2022-12-31,49.38,$-4.28,0.0
2022-09-30,42.42,$1.74,24.37
2022-06-30,41.82,$5.35,7.81
2022-03-31,32.26,$3.72,8.67
2021-12-31,40.53,$4.57,8.86
2021-09-30,39.88,$5.05,7.9
2021-06-30,44.52,$2.92,15.26
2021-03-31,52.24,$4.85,10.77
2020-12-31,42.49,$6.20,6.85
2020-09-30,40.53,$5.07,8.0
2020-06-30,43.8,$5.61,7.81
2020-03-31,44.15,$5.28,8.36
2019-12-31,48.5,$3.38,14.36
2019-09-30,55.45,$2.70,20.53
2019-06-30,54.1,$2.80,19.34
2019-03-31,64.55,$4.84,13.35
2018-12-31,50.71,$6.37,7.97
2018-09-30,47.85,$6.71,7.13
2018-06-30,52.51,$4.81,10.92
2018-03-31,38.27,$6.16,6.22
2017-12-31,49.46,$6.58,7.52
2017-09-30,67.73,$5.47,12.37
2017-06-30,81.69,$7.28,11.23
2017-03-31,84.66,$4.61,18.37
2016-12-31,72.19,$5.48,13.18
2016-09-30,87.19,$5.35,16.3
2016-06-30,102.65,$5.21,19.71
2016-03-31,86.75,$5.25,16.53
2015-12-31,78.46,$5.00,15.69
2015-09-30,77.79,$5.85,13.29
2015-06-30,81.03,$4.68,17.3
2015-03-31,85.02,$4.48,18.97
2014-12-31,85.53,$3.57,23.93
2014-09-30,80.5,$2.74,29.42
2014-06-30,80.07,$4.28,18.72
2014-03-31,71.99,$3.14,22.96
2013-12-31,68.92,$3.82,18.04
2013-09-30,66.83,$3.37,19.81
2013-06-30,65.54,$2.83,23.17
2013-03-31,65.15,$3.80,17.16
2012-12-31,52.13,$3.62,14.4
2012-09-30,52.5,$4.04,12.99
2012-06-30,62.29,$3.00,20.76
2012-03-31,59.5,$2.76,21.54
2011-12-31,65.38,$2.38,27.51
2011-09-30,61.84,$2.32,26.64
2011-06-30,54.61,$4.01,13.63
2011-03-31,56.87,$4.90,11.6
2010-12-31,51.09,$5.67,9.01
2010-09-30,46.1,$5.43,8.49
2010-06-30,45.66,$5.09,8.98
2010-03-31,43.87,$3.60,12.18
2009-12-31,38.86,$2.07,18.78
