Captivision Price to Free Cash Flow Ratio Historical Data,Captivision Price to Free Cash Flow Ratio Historical Data,Captivision Price to Free Cash Flow Ratio Historical Data,Captivision Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.62,,0.0
2023-12-31,3.72,$-0.17,0.0
2023-06-30,10.58,$-0.28,0.0
2023-03-31,10.39,$-0.47,0.0
