"CVR Partners, LP Price to Free Cash Flow Ratio Historical Data","CVR Partners, LP Price to Free Cash Flow Ratio Historical Data","CVR Partners, LP Price to Free Cash Flow Ratio Historical Data","CVR Partners, LP Price to Free Cash Flow Ratio Historical Data"
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,76.0,,7.08
2024-12-31,75.96,$10.74,7.08
2024-09-30,65.99,$8.58,7.69
2024-06-30,72.42,$6.85,10.57
2024-03-31,73.42,$11.98,6.13
2023-12-31,59.68,$20.75,2.88
2023-09-30,73.8,$22.05,3.35
2023-06-30,68.63,$22.53,3.05
2023-03-31,67.48,$21.35,3.16
2022-12-31,69.04,$24.25,2.85
2022-09-30,77.38,$31.08,2.49
2022-06-30,62.14,$33.21,1.87
2022-03-31,84.41,$28.56,2.96
2021-12-31,48.29,$15.76,3.06
2021-09-30,39.21,$9.14,4.29
2021-06-30,33.83,$2.06,16.45
2021-03-31,22.04,$0.36,61.64
2020-12-31,8.75,$0.11,82.33
2020-09-30,4.74,$-2.15,0.0
2020-06-30,4.64,$-1.04,0.0
2020-03-31,5.63,$-0.60,0.0
2019-12-31,16.93,$1.82,9.3
2019-09-30,20.76,$5.26,3.95
2019-06-30,21.13,$5.52,3.83
2019-03-31,20.46,$4.33,4.72
2018-12-31,17.04,$1.11,15.32
2018-09-30,19.1,$-0.75,0.0
2018-06-30,16.54,$-2.07,0.0
2018-03-31,16.29,$-1.60,0.0
2017-12-31,16.44,$-0.37,0.0
2017-09-30,16.19,$0.99,16.31
2017-06-30,17.49,$0.43,40.64
2017-03-31,23.2,$1.40,16.59
2016-12-31,29.99,$2.10,14.25
2016-09-30,26.45,$4.87,5.43
2016-06-30,39.78,$3.10,12.83
2016-03-31,39.41,$8.30,4.75
2015-12-31,36.36,$8.41,4.33
2015-09-30,42.44,$10.45,4.06
2015-06-30,55.36,$13.03,4.25
2015-03-31,55.85,$12.09,4.62
2014-12-31,40.18,$13.39,3.0
2014-09-30,55.35,$12.41,4.46
2014-06-30,73.83,$12.99,5.69
2014-03-31,82.14,$10.67,7.7
2013-12-31,62.46,$11.65,5.36
2013-09-30,65.84,$5.96,11.04
2013-06-30,82.17,$7.31,11.25
2013-03-31,88.36,$8.09,10.92
2012-12-31,88.55,$7.02,12.62
2012-09-30,90.45,$12.54,7.21
2012-06-30,81.44,$16.03,5.08
2012-03-31,86.79,$20.83,4.17
