HeartBeam Price to Free Cash Flow Ratio Historical Data,HeartBeam Price to Free Cash Flow Ratio Historical Data,HeartBeam Price to Free Cash Flow Ratio Historical Data,HeartBeam Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.96,,0.0
2024-12-31,2.3,$-0.55,0.0
2024-09-30,2.32,$-0.65,0.0
2024-06-30,2.57,$-0.51,0.0
2024-03-31,2.18,$-0.36,0.0
2023-12-31,2.35,$-0.61,0.0
2023-09-30,2.15,$-0.71,0.0
2023-06-30,2.41,$-1.06,0.0
2023-03-31,2.27,$-1.31,0.0
2022-12-31,4.88,$-1.22,0.0
2022-09-30,3.9,$-1.61,0.0
