NVIDIA Price to Free Cash Flow Ratio Historical Data,NVIDIA Price to Free Cash Flow Ratio Historical Data,NVIDIA Price to Free Cash Flow Ratio Historical Data,NVIDIA Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,118.53,,48.31
2025-01-31,120.07,$2.45,48.94
2024-10-31,132.75,$2.28,58.24
2024-07-31,117.0,$1.88,62.21
2024-04-30,86.38,$1.58,54.53
2024-01-31,61.51,$1.08,56.77
2023-10-31,40.77,$0.70,58.09
2023-07-31,46.71,$0.41,113.04
2023-04-30,27.73,$0.20,135.42
2023-01-31,19.52,$0.15,128.52
2022-10-31,13.48,$0.19,70.27
2022-07-31,18.14,$0.25,73.26
2022-04-30,18.52,$0.31,59.26
2022-01-31,24.45,$0.32,76.2
2021-10-31,25.52,$0.28,90.12
2021-07-31,19.46,$0.26,73.74
2021-04-30,14.98,$0.22,68.39
2021-01-31,12.96,$0.19,69.29
2020-10-31,12.5,$0.17,74.0
2020-07-31,10.58,$0.20,53.07
2020-04-30,7.28,$0.18,40.65
2020-01-31,5.89,$0.17,34.06
2019-10-31,5.0,$0.15,33.97
2019-07-31,4.19,$0.10,42.44
2019-04-30,4.49,$0.10,46.42
2019-01-31,3.56,$0.13,28.36
2018-10-31,5.23,$0.13,38.79
2018-07-31,6.07,$0.16,36.83
2018-04-30,5.57,$0.16,34.99
2018-01-31,6.08,$0.12,52.82
2017-10-31,5.12,$0.10,49.05
2017-07-31,4.02,$0.08,53.34
2017-04-30,2.58,$0.06,46.15
2017-01-31,2.69,$0.06,46.5
2016-10-31,1.75,$0.05,32.69
2016-07-31,1.4,$0.05,28.41
2016-04-30,0.87,$0.05,17.53
2016-01-31,0.72,$0.05,14.84
2015-10-31,0.69,$0.04,15.48
2015-07-31,0.48,$0.04,11.43
2015-04-30,0.54,$0.04,13.76
2015-01-31,0.46,$0.04,12.93
2014-10-31,0.47,$0.03,14.34
2014-07-31,0.42,$0.03,13.99
2014-04-30,0.44,$0.03,16.04
2014-01-31,0.37,$0.03,14.59
2013-10-31,0.36,$0.03,13.41
2013-07-31,0.34,$0.03,12.63
2013-04-30,0.32,$0.03,10.16
2013-01-31,0.28,$0.03,11.06
2012-10-31,0.27,$0.02,11.41
2012-07-31,0.31,$0.03,11.47
2012-04-30,0.3,$0.02,12.43
2012-01-31,0.34,$0.03,10.87
2011-10-31,0.34,$0.03,10.02
2011-07-31,0.32,$0.03,9.42
2011-04-30,0.46,$0.03,14.71
2011-01-31,0.55,$0.02,22.41
2010-10-31,0.28,$0.01,27.59
2010-07-31,0.21,$0.01,0.0
2010-04-30,0.36,$0.01,29.8
2010-01-31,0.35,$0.02,18.89
2009-10-31,0.27,$0.01,0.0
