AmpliTech Price to Free Cash Flow Ratio Historical Data,AmpliTech Price to Free Cash Flow Ratio Historical Data,AmpliTech Price to Free Cash Flow Ratio Historical Data,AmpliTech Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.81,,0.0
2024-09-30,0.78,$-0.60,0.0
2024-06-30,1.05,$-0.50,0.0
2024-03-31,1.85,$-0.50,0.0
2023-12-31,1.88,$-0.46,0.0
2023-09-30,2.02,$-0.28,0.0
2023-06-30,2.31,$-0.29,0.0
2023-03-31,2.76,$-0.31,0.0
2022-12-31,2.12,$-0.43,0.0
2022-09-30,1.84,$-0.43,0.0
2022-06-30,2.05,$-0.50,0.0
2022-03-31,3.36,$-0.45,0.0
2021-12-31,3.94,$-0.37,0.0
2021-09-30,3.58,$-0.47,0.0
2021-06-30,4.63,$-0.33,0.0
2021-03-31,10.95,$-0.30,0.0
2020-12-31,0.24,$-0.21,0.0
