Crexendo Price to Free Cash Flow Ratio Historical Data,Crexendo Price to Free Cash Flow Ratio Historical Data,Crexendo Price to Free Cash Flow Ratio Historical Data,Crexendo Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,5.46,,26.2
2024-12-31,5.23,$0.21,25.1
2024-09-30,4.64,$0.25,18.6
2024-06-30,3.15,$0.39,8.04
2024-03-31,4.81,$0.33,14.46
2023-12-31,4.85,$0.28,17.48
2023-09-30,2.11,$0.26,8.07
2023-06-30,1.76,$0.06,30.24
2023-03-31,1.65,$-0.01,0.0
2022-12-31,1.89,$-0.03,0.0
2022-09-30,2.39,$-0.15,0.0
2022-06-30,3.08,$-0.16,0.0
2022-03-31,3.6,$-0.12,0.0
2021-12-31,4.95,$-0.05,0.0
2021-09-30,5.93,$-0.01,0.0
2021-06-30,6.05,$0.01,0.0
2021-03-31,5.74,$0.03,195.29
2020-12-31,6.86,$-0.01,0.0
2020-09-30,5.53,$0.01,442.69
2020-06-30,5.64,$0.05,124.83
2020-03-31,4.26,$0.03,137.31
2019-12-31,4.21,$0.10,41.82
2019-09-30,3.02,$0.09,35.31
2019-06-30,3.26,$0.07,45.68
2019-03-31,2.97,$0.06,50.08
2018-12-31,1.98,$0.03,63.86
2018-09-30,2.08,$0.02,89.22
2018-06-30,2.57,$0.02,126.79
2018-03-31,2.77,$0.02,173.23
2017-12-31,2.08,$0.02,98.52
2017-09-30,1.63,$-0.02,0.0
2017-06-30,1.8,$-0.04,0.0
2017-03-31,1.46,$-0.07,0.0
2016-12-31,1.44,$-0.08,0.0
2016-09-30,1.39,$-0.14,0.0
2016-06-30,1.35,$-0.15,0.0
2016-03-31,1.38,$-0.19,0.0
2015-12-31,1.1,$-0.23,0.0
