Compass Minerals Price to Free Cash Flow Ratio Historical Data,Compass Minerals Price to Free Cash Flow Ratio Historical Data,Compass Minerals Price to Free Cash Flow Ratio Historical Data,Compass Minerals Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,10.28,,0.0
2024-12-31,11.25,$-0.59,0.0
2024-09-30,12.02,$-2.42,0.0
2024-06-30,10.33,$-3.82,0.0
2024-03-31,15.74,$-4.70,0.0
2023-12-31,25.14,$-3.19,0.0
2023-09-30,27.58,$-1.18,0.0
2023-06-30,33.38,$-0.61,0.0
2023-03-31,33.52,$0.13,251.85
2022-12-31,39.92,$1.09,36.47
2022-09-30,37.38,$0.70,53.6
2022-06-30,34.2,$1.02,33.63
2022-03-31,60.47,$1.36,44.55
2021-12-31,49.07,$1.82,26.9
2021-09-30,61.68,$2.67,23.11
2021-06-30,56.15,$2.06,27.31
2021-03-31,58.79,$2.01,29.18
2020-12-31,57.22,$3.70,15.46
2020-09-30,54.39,$3.70,14.7
2020-06-30,44.12,$4.58,9.63
2020-03-31,34.3,$3.62,9.48
2019-12-31,53.65,$0.78,69.12
2019-09-30,49.08,$0.78,63.23
2019-06-30,47.06,$0.76,61.9
2019-03-31,45.93,$1.48,31.12
2018-12-31,34.74,$2.75,12.62
2018-09-30,55.21,$2.75,20.05
2018-06-30,53.41,$2.59,20.65
2018-03-31,48.45,$2.76,17.57
2017-12-31,57.36,$1.41,40.76
2017-09-30,51.0,$1.41,36.24
2017-06-30,50.76,$-0.22,0.0
2017-03-31,52.16,$0.41,128.67
2016-12-31,59.67,$-1.23,0.0
2016-09-30,55.63,$-1.23,0.0
2016-06-30,55.49,$-0.79,0.0
2016-03-31,52.53,$-2.71,0.0
2015-12-31,55.23,$-1.76,0.0
2015-09-30,57.06,$-1.76,0.0
2015-06-30,59.32,$-1.32,0.0
2015-03-31,66.81,$-0.28,0.0
2014-12-31,61.78,$1.38,44.93
2014-09-30,59.57,$1.38,43.32
2014-06-30,67.21,$1.52,44.11
2014-03-31,57.56,$3.04,18.94
2013-12-31,55.43,$1.76,31.46
2013-09-30,52.42,$1.76,29.75
2013-06-30,57.66,$3.06,18.83
2013-03-31,53.49,$1.75,30.53
2012-12-31,50.28,$1.00,50.04
2012-09-30,49.88,$1.00,49.64
2012-06-30,50.66,$1.05,48.12
2012-03-31,47.32,$1.41,33.48
2011-12-31,45.11,$4.08,11.06
2011-09-30,43.48,$4.08,10.66
2011-06-30,55.71,$3.52,15.8
2011-03-31,60.24,$3.99,15.08
2010-12-31,57.21,$2.78,20.61
2010-09-30,48.87,$2.78,17.61
2010-06-30,44.59,$2.46,18.12
2010-03-31,50.64,$0.77,65.44
2009-12-31,42.19,$0.46,92.34
