DigiAsia Price to Free Cash Flow Ratio Historical Data,DigiAsia Price to Free Cash Flow Ratio Historical Data,DigiAsia Price to Free Cash Flow Ratio Historical Data,DigiAsia Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.34,,0.0
2023-12-31,11.2,$-0.14,0.0
2023-09-30,11.05,$0.21,53.41
2023-06-30,10.85,$0.14,79.96
2023-03-31,10.52,$-0.02,0.0
2022-12-31,10.27,$-0.12,0.0
2022-09-30,10.1,$0.07,150.97
2022-06-30,9.99,$-0.08,0.0
