W.R Berkley Price to Free Cash Flow Ratio Historical Data,W.R Berkley Price to Free Cash Flow Ratio Historical Data,W.R Berkley Price to Free Cash Flow Ratio Historical Data,W.R Berkley Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,63.59,,7.31
2024-12-31,58.52,$8.70,6.73
2024-09-30,56.18,$8.42,6.68
2024-06-30,51.59,$8.00,6.45
2024-03-31,57.62,$7.58,7.6
2023-12-31,46.01,$7.01,6.56
2023-09-30,40.95,$7.13,5.74
2023-06-30,38.06,$6.30,6.04
2023-03-31,39.71,$5.77,6.89
2022-12-31,45.9,$5.89,7.79
2022-09-30,40.79,$5.60,7.28
2022-06-30,43.05,$5.75,7.48
2022-03-31,41.63,$5.89,7.07
2021-12-31,34.29,$5.44,6.3
2021-09-30,30.02,$5.56,5.4
2021-06-30,30.48,$4.91,6.21
2021-03-31,30.6,$4.61,6.64
2020-12-31,26.93,$4.14,6.51
2020-09-30,24.74,$3.25,7.62
2020-06-30,23.14,$2.76,8.38
2020-03-31,21.03,$2.36,8.91
2019-12-31,27.8,$2.15,12.96
2019-09-30,28.7,$1.89,15.22
2019-06-30,26.15,$1.52,17.19
2019-03-31,22.2,$1.04,21.37
2018-12-31,19.33,$0.13,148.34
2018-09-30,20.73,$-0.18,0.0
2018-06-30,18.63,$0.00,0.0
2018-03-31,18.66,$-0.07,0.0
2017-12-31,18.36,$0.82,22.31
2017-09-30,16.94,$0.70,24.07
2017-06-30,17.52,$0.75,23.24
2017-03-31,17.73,$1.01,17.55
2016-12-31,16.66,$1.15,14.5
2016-09-30,14.31,$1.48,9.7
2016-06-30,14.69,$1.30,11.33
2016-03-31,13.74,$1.51,9.13
2015-12-31,13.36,$1.35,9.86
2015-09-30,13.24,$1.40,9.47
2015-06-30,12.61,$1.20,10.51
2015-03-31,12.24,$1.63,7.5
2014-12-31,12.39,$1.83,6.79
2014-09-30,11.31,$1.67,6.79
2014-06-30,10.93,$1.97,5.56
2014-03-31,9.8,$1.39,7.06
2013-12-31,10.19,$1.37,7.46
2013-09-30,10.04,$1.15,8.77
2013-06-30,9.55,$0.75,12.72
2013-03-31,10.35,$0.87,11.96
2012-12-31,8.78,$0.78,11.22
2012-09-30,8.49,$1.62,5.23
2012-06-30,8.79,$1.49,5.92
2012-03-31,8.14,$1.21,6.71
2011-12-31,7.73,$1.07,7.2
2011-09-30,6.66,$0.29,22.76
2011-06-30,7.26,$0.61,11.81
2011-03-31,7.19,$0.65,11.02
2010-12-31,6.1,$0.77,7.94
2010-09-30,6.01,$0.93,6.5
2010-06-30,5.86,$0.86,6.83
2010-03-31,5.76,$0.56,10.26
2009-12-31,5.43,$0.51,10.69
