Fresh Vine Wine Price to Free Cash Flow Ratio Historical Data,Fresh Vine Wine Price to Free Cash Flow Ratio Historical Data,Fresh Vine Wine Price to Free Cash Flow Ratio Historical Data,Fresh Vine Wine Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.51,,0.0
2024-09-30,0.9,$-0.11,0.0
2024-06-30,0.61,$-0.12,0.0
2024-03-31,0.74,$-0.18,0.0
2023-12-31,0.91,$-0.31,0.0
2023-09-30,0.42,$-0.40,0.0
2023-06-30,0.23,$-0.50,0.0
2023-03-31,0.49,$-0.87,0.0
2022-12-31,0.98,$-1.08,0.0
2022-09-30,1.77,$-1.62,0.0
