AES Price to Free Cash Flow Ratio Historical Data,AES Price to Free Cash Flow Ratio Historical Data,AES Price to Free Cash Flow Ratio Historical Data,AES Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,13.16,,0.0
2024-12-31,12.87,$-6.51,0.0
2024-09-30,19.83,$-8.00,0.0
2024-06-30,17.2,$-7.71,0.0
2024-03-31,17.39,$-7.90,0.0
2023-12-31,18.47,$-6.59,0.0
2023-09-30,14.43,$-5.45,0.0
2023-06-30,19.53,$-4.86,0.0
2023-03-31,22.52,$-3.61,0.0
2022-12-31,26.74,$-2.75,0.0
2022-09-30,20.89,$-1.60,0.0
2022-06-30,19.28,$-0.92,0.0
2022-03-31,23.43,$-0.49,0.0
2021-12-31,21.98,$-0.32,0.0
2021-09-30,20.52,$-0.01,0.0
2021-06-30,23.29,$0.90,25.74
2021-03-31,23.82,$1.29,18.43
2020-12-31,20.75,$1.28,16.22
2020-09-30,15.88,$0.91,17.5
2020-06-30,12.59,$-0.06,0.0
2020-03-31,11.69,$-0.47,0.0
2019-12-31,16.98,$0.09,185.55
2019-09-30,13.83,$0.43,31.99
2019-06-30,14.07,$0.37,37.7
2019-03-31,15.06,$0.58,25.85
2018-12-31,11.94,$0.33,35.78
2018-09-30,11.46,$0.48,23.88
2018-06-30,10.88,$0.64,16.97
2018-03-31,9.12,$0.17,53.48
2017-12-31,8.59,$0.50,17.34
2017-09-30,8.65,$0.39,22.41
2017-06-30,8.63,$0.43,20.09
2017-03-31,8.59,$1.19,7.21
2016-12-31,8.83,$0.84,10.56
2016-09-30,9.68,$0.64,15.19
2016-06-30,9.31,$0.74,12.53
2016-03-31,8.72,$0.01,0.0
2015-12-31,6.99,$-0.25,0.0
2015-09-30,7.09,$-0.38,0.0
2015-06-30,9.52,$-0.54,0.0
2015-03-31,9.16,$-0.32,0.0
2014-12-31,9.74,$-0.31,0.0
2014-09-30,9.99,$-0.24,0.0
2014-06-30,10.92,$-0.11,0.0
2014-03-31,9.99,$0.43,23.33
2013-12-31,10.12,$0.97,10.41
2013-09-30,9.24,$1.39,6.64
2013-06-30,8.31,$1.53,5.41
2013-03-31,8.69,$1.46,5.94
2012-12-31,7.37,$1.11,6.63
2012-09-30,7.52,$0.74,10.23
2012-06-30,8.8,$0.56,15.74
2012-03-31,8.96,$0.64,13.94
2011-12-31,8.12,$0.73,11.14
2011-09-30,6.69,$1.13,5.93
2011-06-30,8.74,$1.23,7.09
2011-03-31,8.92,$1.31,6.82
2010-12-31,8.35,$1.52,5.49
2010-09-30,7.78,$0.50,15.61
2010-06-30,6.34,$0.55,11.54
2010-03-31,7.54,$0.14,54.05
2009-12-31,9.13,$-0.44,0.0
