Clean Energy Technologies Price to Free Cash Flow Ratio Historical Data,Clean Energy Technologies Price to Free Cash Flow Ratio Historical Data,Clean Energy Technologies Price to Free Cash Flow Ratio Historical Data,Clean Energy Technologies Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.62,,0.0
2024-09-30,1.0,$-0.09,0.0
2024-06-30,1.32,$-0.10,0.0
2024-03-31,1.07,$-0.13,0.0
2023-12-31,1.5,$-0.13,0.0
