Theratechnologies Price to Free Cash Flow Ratio Historical Data,Theratechnologies Price to Free Cash Flow Ratio Historical Data,Theratechnologies Price to Free Cash Flow Ratio Historical Data,Theratechnologies Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.62,,33.61
2024-11-30,1.21,$0.05,25.1
2024-08-31,1.28,$-0.10,0.0
2024-05-31,1.25,$0.03,42.37
2024-02-29,1.45,$-0.12,0.0
2023-11-30,1.58,$-0.23,0.0
2023-08-31,0.96,$-0.30,0.0
2023-05-31,3.8,$-0.66,0.0
2023-02-28,3.8,$-0.56,0.0
2022-11-30,8.52,$-0.66,0.0
2022-08-31,8.64,$-0.82,0.0
2022-05-31,10.48,$-0.81,0.0
2022-02-28,11.12,$-0.76,0.0
2021-11-30,13.2,$-0.76,0.0
2021-08-31,14.52,$-0.69,0.0
2021-05-31,14.08,$-0.55,0.0
2021-02-28,12.84,$-0.83,0.0
2020-11-30,9.2,$-0.71,0.0
2020-08-31,10.4,$-0.64,0.0
