Herbalife Price to Free Cash Flow Ratio Historical Data,Herbalife Price to Free Cash Flow Ratio Historical Data,Herbalife Price to Free Cash Flow Ratio Historical Data,Herbalife Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,7.99,,4.97
2024-12-31,6.69,$1.61,4.16
2024-09-30,7.19,$1.78,4.03
2024-06-30,10.39,$1.55,6.72
2024-03-31,10.05,$1.87,5.37
2023-12-31,15.26,$2.22,6.87
2023-09-30,13.99,$1.71,8.2
2023-06-30,13.24,$1.55,8.52
2023-03-31,16.1,$1.25,12.85
2022-12-31,14.88,$1.97,7.55
2022-09-30,19.89,$2.22,8.96
2022-06-30,20.45,$2.42,8.44
2022-03-31,30.36,$3.04,9.99
2021-12-31,40.93,$2.85,14.35
2021-09-30,42.38,$3.02,14.01
2021-06-30,52.73,$3.43,15.37
2021-03-31,44.36,$3.69,12.01
2020-12-31,48.05,$3.84,12.51
2020-09-30,46.65,$4.22,11.04
2020-06-30,44.98,$4.43,10.15
2020-03-31,29.16,$3.24,9.0
2019-12-31,47.67,$2.48,19.21
2019-09-30,37.86,$2.24,16.91
2019-06-30,42.76,$2.17,19.75
2019-03-31,52.99,$2.93,18.06
2018-12-31,58.95,$3.78,15.61
2018-09-30,54.55,$4.08,13.37
2018-06-30,53.72,$3.69,14.57
2018-03-31,48.74,$3.04,16.04
2017-12-31,33.86,$2.99,11.33
2017-09-30,33.92,$2.53,13.41
2017-06-30,35.67,$0.96,37.07
2017-03-31,29.07,$1.52,19.12
2016-12-31,24.07,$1.30,18.51
2016-09-30,31.0,$1.48,20.96
2016-06-30,29.27,$3.04,9.61
2016-03-31,30.78,$3.06,10.07
2015-12-31,26.81,$3.22,8.32
2015-09-30,27.25,$2.61,10.46
2015-06-30,27.55,$2.40,11.46
2015-03-31,21.38,$2.02,10.58
2014-12-31,18.85,$1.86,10.14
2014-09-30,21.88,$2.46,8.9
2014-06-30,32.27,$2.86,11.27
2014-03-31,28.64,$3.05,9.39
2013-12-31,39.17,$2.92,13.44
2013-09-30,34.56,$2.65,13.06
2013-06-30,22.26,$2.38,9.36
2013-03-31,18.34,$2.02,9.06
2012-12-31,16.01,$1.89,8.45
2012-09-30,22.89,$1.85,12.4
2012-06-30,23.2,$1.77,13.15
2012-03-31,32.82,$1.76,18.67
2011-12-31,24.53,$1.68,14.57
2011-09-30,25.36,$1.69,15.01
2011-06-30,27.17,$1.50,18.17
2011-03-31,19.1,$1.28,14.94
2010-12-31,16.0,$1.26,12.66
2010-09-30,14.07,$1.07,13.12
2010-06-30,10.69,$1.10,9.74
2010-03-31,10.66,$0.90,11.8
2009-12-31,9.33,$0.89,10.45
