Teekay Tankers Price to Free Cash Flow Ratio Historical Data,Teekay Tankers Price to Free Cash Flow Ratio Historical Data,Teekay Tankers Price to Free Cash Flow Ratio Historical Data,Teekay Tankers Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,39.96,,2.86
2024-09-30,57.92,$13.96,4.15
2024-06-30,68.11,$16.38,4.16
2024-03-31,56.03,$18.07,3.1
2023-12-31,47.72,$18.50,2.58
2023-09-30,39.57,$18.23,2.17
2023-06-30,36.13,$16.72,2.16
2023-03-31,39.34,$12.13,3.24
2022-12-31,28.23,$7.22,3.91
2022-09-30,25.24,$2.55,9.88
2022-06-30,16.16,$-0.35,0.0
2022-03-31,12.68,$-2.30,0.0
2021-12-31,9.99,$-2.09,0.0
2021-09-30,13.31,$-1.82,0.0
2021-06-30,13.21,$0.62,21.26
2021-03-31,12.74,$6.59,1.93
2020-12-31,10.09,$12.32,0.82
2020-09-30,9.93,$14.68,0.68
2020-06-30,11.75,$13.11,0.9
2020-03-31,20.38,$8.24,2.47
2019-12-31,21.97,$3.74,5.88
2019-09-30,9.53,$1.53,6.24
2019-06-30,9.38,$1.08,8.66
2019-03-31,7.11,$1.18,6.05
2018-12-31,6.8,$-0.37,0.0
2018-09-30,7.24,$0.30,24.32
2018-06-30,8.58,$1.15,7.47
2018-03-31,8.72,$3.15,2.77
2017-12-31,10.01,$5.46,1.83
2017-09-30,11.35,$6.64,1.71
2017-06-30,12.92,$9.72,1.33
2017-03-31,13.88,$9.93,1.4
2016-12-31,15.1,$10.57,1.43
2016-09-30,16.69,$4.03,4.14
2016-06-30,19.24,$-26.18,0.0
2016-03-31,23.09,$-25.43,0.0
2015-12-31,42.18,$-41.03,0.0
2015-09-30,42.14,$-35.03,0.0
2015-06-30,40.2,$-8.42,0.0
2015-03-31,34.74,$2.77,12.56
2014-12-31,30.47,$16.03,1.9
2014-09-30,22.27,$16.19,1.38
2014-06-30,25.43,$14.66,1.73
2014-03-31,20.81,$1.82,11.46
2013-12-31,22.93,$2.10,10.91
2013-09-30,15.12,$1.41,10.69
2013-06-30,15.02,$4.29,3.5
2013-03-31,16.09,$1.97,8.16
2012-12-31,16.18,$2.52,6.43
2012-09-30,20.7,$3.40,6.08
2012-06-30,24.6,$3.46,7.1
2012-03-31,31.55,$1.39,22.7
2011-12-31,17.83,$2.59,6.88
2011-09-30,22.56,$0.64,35.28
2011-06-30,44.71,$7.23,6.19
2011-03-31,48.44,$13.83,3.5
2010-12-31,55.99,$15.46,3.62
2010-09-30,57.57,$24.34,2.37
2010-06-30,48.01,$16.70,2.87
2010-03-31,52.47,$16.18,3.24
2009-12-31,34.7,$24.22,1.43
