Hour Loop Price to Free Cash Flow Ratio Historical Data,Hour Loop Price to Free Cash Flow Ratio Historical Data,Hour Loop Price to Free Cash Flow Ratio Historical Data,Hour Loop Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.71,,97.16
2024-09-30,1.46,$0.02,82.68
2024-06-30,0.93,$0.06,14.46
2024-03-31,1.13,$0.05,23.49
2023-12-31,1.38,$-0.06,0.0
2023-09-30,1.41,$-0.01,0.0
2023-06-30,1.66,$-0.07,0.0
2023-03-31,2.01,$-0.21,0.0
2022-12-31,2.61,$-0.34,0.0
