Nerdy Price to Free Cash Flow Ratio Historical Data,Nerdy Price to Free Cash Flow Ratio Historical Data,Nerdy Price to Free Cash Flow Ratio Historical Data,Nerdy Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.57,,0.0
2024-12-31,1.62,$-0.20,0.0
2024-09-30,0.98,$-0.17,0.0
2024-06-30,1.67,$-0.20,0.0
2024-03-31,2.91,$-0.19,0.0
2023-12-31,3.43,$-0.15,0.0
2023-09-30,3.7,$-0.26,0.0
2023-06-30,4.17,$-0.36,0.0
2023-03-31,4.18,$-0.53,0.0
2022-12-31,2.25,$-0.62,0.0
2022-09-30,2.11,$-0.69,0.0
2022-06-30,2.13,$-0.81,0.0
2022-03-31,5.09,$-0.58,0.0
2021-12-31,4.5,$-0.56,0.0
2021-09-30,9.99,$-0.30,0.0
