Gray Media Price to Free Cash Flow Ratio Historical Data,Gray Media Price to Free Cash Flow Ratio Historical Data,Gray Media Price to Free Cash Flow Ratio Historical Data,Gray Media Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,5.19,,0.82
2024-12-31,3.15,$6.33,0.5
2024-09-30,5.25,$3.17,1.66
2024-06-30,5.01,$0.86,5.85
2024-03-31,5.99,$0.40,14.93
2023-12-31,8.38,$3.33,2.52
2023-09-30,6.41,$4.03,1.59
2023-06-30,7.23,$5.12,1.41
2023-03-31,7.92,$6.51,1.22
2022-12-31,10.07,$4.23,2.38
2022-09-30,12.8,$2.89,4.43
2022-06-30,15.04,$6.55,2.3
2022-03-31,19.56,$5.55,3.53
2021-12-31,17.81,$5.96,2.99
2021-09-30,20.08,$7.54,2.66
2021-06-30,20.51,$4.18,4.91
2021-03-31,16.07,$5.95,2.7
2020-12-31,15.56,$5.59,2.79
2020-09-30,11.98,$5.55,2.16
2020-06-30,12.14,$5.03,2.41
2020-03-31,9.34,$3.94,2.37
2019-12-31,18.65,$5.28,3.53
2019-09-30,14.2,$5.34,2.66
2019-06-30,14.26,$4.95,2.88
2019-03-31,18.58,$5.24,3.55
2018-12-31,12.82,$2.94,4.36
2018-09-30,15.23,$2.37,6.41
2018-06-30,13.75,$2.17,6.32
2018-03-31,11.05,$2.12,5.21
2017-12-31,14.57,$1.96,7.44
2017-09-30,13.66,$2.59,5.27
2017-06-30,11.92,$2.52,4.73
2017-03-31,12.62,$1.90,6.65
2016-12-31,9.44,$2.44,3.87
2016-09-30,9.01,$1.40,6.46
2016-06-30,9.44,$1.46,6.48
2016-03-31,10.2,$1.23,8.3
2015-12-31,14.18,$1.20,11.86
2015-09-30,11.1,$1.52,7.32
2015-06-30,13.64,$1.76,7.76
2015-03-31,12.02,$1.98,6.07
2014-12-31,9.74,$1.75,5.58
2014-09-30,6.86,$1.22,5.63
2014-06-30,11.42,$0.72,15.95
2014-03-31,9.02,$0.65,13.91
2013-12-31,12.95,$0.62,20.74
2013-09-30,6.83,$0.43,15.71
2013-06-30,6.26,$0.78,8.05
2013-03-31,4.08,$0.97,4.2
2012-12-31,1.91,$1.13,1.69
2012-09-30,1.98,$1.23,1.62
2012-06-30,1.28,$0.82,1.56
2012-03-31,1.64,$0.50,3.31
2011-12-31,1.41,$0.24,5.79
2011-09-30,1.36,$0.38,3.58
2011-06-30,2.3,$0.21,10.83
2011-03-31,1.8,$0.36,5.01
2010-12-31,1.63,$0.34,4.72
2010-09-30,1.75,$0.44,3.94
2010-06-30,2.1,$0.35,5.91
2010-03-31,2.0,$0.24,8.28
2009-12-31,1.31,$0.02,55.3
