Biodesix Price to Free Cash Flow Ratio Historical Data,Biodesix Price to Free Cash Flow Ratio Historical Data,Biodesix Price to Free Cash Flow Ratio Historical Data,Biodesix Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.82,,0.0
2024-12-31,1.53,$-0.40,0.0
2024-09-30,1.78,$-0.50,0.0
2024-06-30,1.53,$-0.58,0.0
2024-03-31,1.43,$-0.52,0.0
2023-12-31,1.84,$-0.56,0.0
2023-09-30,1.65,$-0.68,0.0
2023-06-30,1.23,$-0.82,0.0
2023-03-31,1.86,$-0.91,0.0
2022-12-31,2.3,$-1.15,0.0
2022-09-30,1.27,$-1.26,0.0
2022-06-30,1.64,$-1.31,0.0
2022-03-31,1.69,$-1.10,0.0
2021-12-31,5.29,$-1.11,0.0
2021-09-30,8.22,$-5.52,0.0
