Brookfield Renewable Partners Price to Free Cash Flow Ratio Historical Data,Brookfield Renewable Partners Price to Free Cash Flow Ratio Historical Data,Brookfield Renewable Partners Price to Free Cash Flow Ratio Historical Data,Brookfield Renewable Partners Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,23.65,,0.0
2024-12-31,22.79,$-4.79,0.0
2024-09-30,27.8,$-6.87,0.0
2024-06-30,24.09,$-3.92,0.0
2024-03-31,22.59,$-4.67,0.0
2023-12-31,25.15,$-2.57,0.0
2023-09-30,20.53,$-0.61,0.0
2023-06-30,27.49,$2.90,9.49
2023-03-31,29.05,$-0.36,0.0
2022-12-31,23.07,$-1.23,0.0
2022-09-30,28.17,$-6.93,0.0
2022-06-30,31.05,$-2.60,0.0
2022-03-31,36.33,$-2.24,0.0
2021-12-31,31.37,$-1.48,0.0
2021-09-30,32.08,$5.24,6.12
2021-06-30,33.28,$2.47,13.5
2021-03-31,36.48,$1.91,19.11
2020-12-31,36.68,$4.12,8.9
2020-09-30,29.58,$4.89,6.04
2020-06-30,26.71,$5.00,5.34
2020-03-31,23.43,$6.34,3.7
2019-12-31,25.44,$5.16,4.93
2019-09-30,21.92,$4.01,5.47
2019-06-30,18.41,$2.27,8.1
2019-03-31,16.73,$3.49,4.8
2018-12-31,13.34,$3.22,4.14
2018-09-30,15.57,$2.64,5.9
2018-06-30,15.23,$3.82,3.99
2018-03-31,15.54,$2.10,7.39
2017-12-31,17.16,$2.71,6.33
2017-09-30,16.24,$3.27,4.97
2017-06-30,15.27,$3.21,4.76
2017-03-31,14.01,$2.81,4.99
2016-12-31,13.78,$2.19,6.29
2016-09-30,14.06,$1.73,8.12
2016-06-30,13.42,$2.76,4.85
2016-03-31,13.29,$3.02,4.4
2015-12-31,11.43,$3.05,3.75
2015-09-30,11.81,$-5.34,0.0
2015-06-30,12.57,$-0.06,0.0
2015-03-31,13.19,$-3.44,0.0
2014-12-31,12.75,$-5.80,0.0
2014-09-30,12.41,$1.72,7.22
2014-06-30,11.91,$-3.87,0.0
2014-03-31,11.56,$0.86,13.51
2013-12-31,10.28,$2.07,4.98
2013-09-30,10.2,$0.43,23.94
2013-06-30,10.53,$-0.35,0.0
2013-03-31,10.95,$-2.13,0.0
2012-12-31,10.77,$-1.64,0.0
2012-09-30,10.98,$1.53,7.17
