ESSA Bancorp Price to Free Cash Flow Ratio Historical Data,ESSA Bancorp Price to Free Cash Flow Ratio Historical Data,ESSA Bancorp Price to Free Cash Flow Ratio Historical Data,ESSA Bancorp Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,19.25,,19.29
2024-12-31,19.5,$1.00,19.54
2024-09-30,19.08,$1.39,13.77
2024-06-30,17.32,$2.06,8.42
2024-03-31,17.79,$1.94,9.17
2023-12-31,19.37,$2.46,7.89
2023-09-30,14.41,$2.05,7.04
2023-06-30,14.21,$2.17,6.55
2023-03-31,14.8,$2.29,6.46
2022-12-31,19.47,$2.20,8.84
2022-09-30,17.96,$2.27,7.92
2022-06-30,15.45,$2.12,7.27
2022-03-31,16.36,$1.93,8.46
2021-12-31,15.69,$1.88,8.35
2021-09-30,14.83,$1.91,7.77
2021-06-30,14.63,$1.59,9.2
2021-03-31,14.18,$1.66,8.53
2020-12-31,13.2,$1.74,7.58
2020-09-30,10.77,$1.81,5.96
2020-06-30,12.06,$1.66,7.26
2020-03-31,11.74,$1.81,6.49
2019-12-31,14.45,$1.77,8.17
2019-09-30,13.91,$1.62,8.6
2019-06-30,12.84,$2.05,6.27
2019-03-31,12.88,$1.84,7.0
2018-12-31,12.98,$1.90,6.85
2018-09-30,13.43,$2.16,6.21
2018-06-30,13.0,$2.10,6.19
2018-03-31,11.98,$1.73,6.93
2017-12-31,12.72,$1.83,6.93
2017-09-30,12.67,$1.76,7.19
2017-06-30,11.81,$1.70,6.94
2017-03-31,11.63,$2.01,5.79
2016-12-31,12.46,$1.82,6.84
2016-09-30,10.9,$1.62,6.72
2016-06-30,10.5,$1.71,6.16
2016-03-31,10.5,$1.69,6.21
2015-12-31,10.58,$1.71,6.18
2015-09-30,9.95,$1.74,5.71
2015-06-30,9.81,$1.59,6.16
2015-03-31,9.71,$1.40,6.94
2014-12-31,9.02,$1.29,7.02
2014-09-30,8.45,$1.26,6.7
2014-06-30,8.27,$1.24,6.65
2014-03-31,8.02,$1.56,5.16
2013-12-31,8.48,$1.73,4.89
2013-09-30,7.61,$1.93,3.94
2013-06-30,7.96,$1.22,6.51
2013-03-31,7.84,$0.85,9.24
2012-12-31,7.84,$0.55,14.35
2012-09-30,7.44,$0.41,18.29
2012-06-30,7.7,$1.08,7.12
2012-03-31,6.95,$1.01,6.92
2011-12-31,7.39,$0.93,7.97
2011-09-30,7.38,$0.85,8.66
2011-06-30,8.69,$0.80,10.81
2011-03-31,9.19,$0.67,13.63
2010-12-31,9.17,$0.59,15.44
2010-09-30,8.18,$0.36,22.88
2010-06-30,8.47,$0.31,27.06
2010-03-31,8.59,$0.36,23.93
2009-12-31,7.99,$0.65,12.37
