Werewolf Therapeutics Price to Free Cash Flow Ratio Historical Data,Werewolf Therapeutics Price to Free Cash Flow Ratio Historical Data,Werewolf Therapeutics Price to Free Cash Flow Ratio Historical Data,Werewolf Therapeutics Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.09,,0.0
2024-12-31,1.48,$-1.29,0.0
2024-09-30,2.12,$-1.10,0.0
2024-06-30,2.44,$-1.01,0.0
2024-03-31,6.48,$-1.02,0.0
2023-12-31,3.86,$-0.94,0.0
2023-09-30,2.14,$-1.26,0.0
2023-06-30,3.05,$-1.57,0.0
2023-03-31,2.6,$-1.31,0.0
2022-12-31,2.05,$-1.53,0.0
2022-09-30,4.51,$-2.30,0.0
2022-06-30,4.09,$-1.90,0.0
2022-03-31,4.4,$-2.86,0.0
