Verve Therapeutics Price to Free Cash Flow Ratio Historical Data,Verve Therapeutics Price to Free Cash Flow Ratio Historical Data,Verve Therapeutics Price to Free Cash Flow Ratio Historical Data,Verve Therapeutics Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,5.54,,0.0
2024-12-31,5.64,$-1.91,0.0
2024-09-30,4.84,$-2.05,0.0
2024-06-30,4.88,$-1.74,0.0
2024-03-31,13.28,$-2.15,0.0
2023-12-31,13.94,$-2.48,0.0
2023-09-30,13.26,$-2.64,0.0
2023-06-30,18.75,$-2.82,0.0
2023-03-31,14.42,$-2.61,0.0
2022-12-31,19.35,$-2.51,0.0
2022-09-30,34.35,$-3.66,0.0
2022-06-30,15.28,$-0.53,0.0
2022-03-31,22.82,$-3.81,0.0
