Maiden Holdings Price to Free Cash Flow Ratio Historical Data,Maiden Holdings Price to Free Cash Flow Ratio Historical Data,Maiden Holdings Price to Free Cash Flow Ratio Historical Data,Maiden Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.69,,0.0
2024-12-31,1.69,$-0.68,0.0
2024-09-30,1.77,$-0.13,0.0
2024-06-30,2.06,$-0.12,0.0
2024-03-31,2.25,$-0.31,0.0
2023-12-31,2.29,$-0.59,0.0
2023-09-30,1.76,$-1.75,0.0
2023-06-30,2.1,$-1.86,0.0
2023-03-31,2.09,$-1.57,0.0
2022-12-31,2.11,$-2.25,0.0
2022-09-30,2.15,$-2.26,0.0
2022-06-30,1.94,$-3.45,0.0
2022-03-31,2.41,$-4.25,0.0
2021-12-31,3.06,$-4.58,0.0
2021-09-30,3.16,$-4.61,0.0
2021-06-30,3.37,$-3.62,0.0
2021-03-31,3.3,$-5.01,0.0
2020-12-31,2.49,$-6.42,0.0
2020-09-30,1.22,$-7.61,0.0
2020-06-30,1.24,$-12.65,0.0
2020-03-31,0.91,$-12.38,0.0
2019-12-31,0.75,$-13.76,0.0
2019-09-30,0.75,$-11.19,0.0
2019-06-30,0.64,$-4.54,0.0
2019-03-31,0.74,$-1.42,0.0
2018-12-31,1.65,$2.19,0.75
2018-09-30,2.85,$2.94,0.97
2018-06-30,7.62,$3.44,2.21
2018-03-31,6.27,$4.45,1.41
2017-12-31,6.22,$5.35,1.16
2017-09-30,7.33,$6.55,1.12
2017-06-30,10.04,$6.64,1.51
2017-03-31,12.49,$6.39,1.96
2016-12-31,15.41,$5.97,2.58
2016-09-30,10.99,$5.06,2.17
2016-06-30,10.6,$4.90,2.16
2016-03-31,11.07,$5.51,2.01
2015-12-31,12.62,$7.41,1.7
2015-09-30,11.65,$8.96,1.3
2015-06-30,13.12,$10.44,1.26
2015-03-31,12.22,$8.81,1.39
2014-12-31,10.45,$8.79,1.19
2014-09-30,8.96,$5.90,1.52
2014-06-30,9.69,$5.53,1.75
2014-03-31,9.91,$6.55,1.51
2013-12-31,8.6,$4.79,1.79
2013-09-30,9.2,$5.56,1.66
2013-06-30,8.68,$4.12,2.1
2013-03-31,8.12,$3.61,2.25
2012-12-31,6.99,$4.36,1.6
2012-09-30,6.63,$4.73,1.4
2012-06-30,6.41,$4.18,1.54
2012-03-31,6.59,$3.28,2.01
2011-12-31,6.36,$2.49,2.56
2011-09-30,5.31,$1.91,2.78
2011-06-30,6.47,$1.66,3.9
2011-03-31,5.29,$2.31,2.29
2010-12-31,5.5,$2.08,2.64
2010-09-30,5.28,$2.38,2.22
2010-06-30,4.52,$2.18,2.07
2010-03-31,5.03,$0.36,13.89
2009-12-31,4.94,$0.62,7.91
