Trio Petroleum Price to Free Cash Flow Ratio Historical Data,Trio Petroleum Price to Free Cash Flow Ratio Historical Data,Trio Petroleum Price to Free Cash Flow Ratio Historical Data,Trio Petroleum Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.39,,0.0
2025-01-31,1.76,$-1.39,0.0
2024-10-31,0.13,$-2.25,0.0
2024-07-31,0.26,$-3.13,0.0
2024-04-30,0.32,$-4.75,0.0
2024-01-31,0.16,$-8.13,0.0
