Prospect Capital Price to Free Cash Flow Ratio Historical Data,Prospect Capital Price to Free Cash Flow Ratio Historical Data,Prospect Capital Price to Free Cash Flow Ratio Historical Data,Prospect Capital Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,4.26,,4.02
2024-12-31,4.31,$1.06,4.07
2024-09-30,5.24,$0.70,7.45
2024-06-30,5.23,$0.45,11.69
2024-03-31,5.06,$-0.08,0.0
2023-12-31,5.32,$0.23,23.01
2023-09-30,5.21,$-0.21,0.0
2023-06-30,5.18,$-0.55,0.0
2023-03-31,5.66,$-0.72,0.0
2022-12-31,5.54,$-1.47,0.0
2022-09-30,4.8,$-2.00,0.0
2022-06-30,5.28,$-1.83,0.0
2022-03-31,6.1,$-1.59,0.0
2021-12-31,6.06,$-0.88,0.0
2021-09-30,5.44,$0.04,124.66
2021-06-30,5.79,$0.08,72.03
2021-03-31,5.18,$0.54,9.51
2020-12-31,3.56,$0.28,12.61
2020-09-30,3.2,$0.57,5.66
2020-06-30,3.14,$1.17,2.69
2020-03-31,2.52,$1.08,2.33
2019-12-31,3.69,$1.95,1.89
2019-09-30,3.68,$1.88,1.96
2019-06-30,3.54,$0.61,5.79
2019-03-31,3.44,$0.77,4.45
2018-12-31,3.25,$-0.58,0.0
2018-09-30,3.74,$0.09,41.47
2018-06-30,3.34,$1.02,3.27
2018-03-31,3.17,$1.55,2.04
2017-12-31,3.18,$2.08,1.53
2017-09-30,3.08,$1.48,2.09
2017-06-30,3.61,$1.05,3.44
2017-03-31,3.9,$0.82,4.76
2016-12-31,3.51,$1.61,2.17
2016-09-30,3.3,$1.59,2.08
2016-06-30,3.09,$2.42,1.28
2016-03-31,2.78,$2.18,1.27
2015-12-31,2.57,$1.37,1.87
2015-09-30,2.54,$0.53,4.8
2015-06-30,2.54,$0.13,19.73
2015-03-31,2.82,$-1.10,0.0
2014-12-31,2.67,$-4.23,0.0
2014-09-30,3.08,$-4.54,0.0
2014-06-30,3.21,$-5.75,0.0
2014-03-31,3.16,$-7.30,0.0
2013-12-31,3.18,$-4.59,0.0
2013-09-30,3.08,$-6.52,0.0
2013-06-30,2.89,$-8.63,0.0
2013-03-31,2.83,$-7.82,0.0
2012-12-31,2.74,$-6.55,0.0
2012-09-30,2.82,$-3.82,0.0
2012-06-30,2.71,$-2.01,0.0
2012-03-31,2.55,$-2.99,0.0
2011-12-31,2.09,$-5.76,0.0
2011-09-30,1.84,$-7.81,0.0
2011-06-30,2.13,$-6.76,0.0
2011-03-31,2.51,$-5.46,0.0
2010-12-31,2.16,$-3.87,0.0
2010-09-30,1.89,$-0.00,0.0
2010-06-30,1.82,$0.92,1.97
2010-03-31,2.27,$0.68,3.34
2009-12-31,2.06,$0.35,5.93
