Costamare Price to Free Cash Flow Ratio Historical Data,Costamare Price to Free Cash Flow Ratio Historical Data,Costamare Price to Free Cash Flow Ratio Historical Data,Costamare Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,10.67,,2.65
2024-12-31,12.85,$4.03,3.19
2024-09-30,15.59,$5.00,3.12
2024-06-30,16.17,$4.21,3.84
2024-03-31,11.05,$3.92,2.82
2023-12-31,10.03,$3.92,2.56
2023-09-30,9.15,$4.80,1.91
2023-06-30,9.09,$5.84,1.56
2023-03-31,8.75,$6.55,1.33
2022-12-31,8.53,$6.02,1.42
2022-09-30,8.13,$2.75,2.96
2022-06-30,10.88,$0.46,23.9
2022-03-31,14.76,$-1.76,0.0
2021-12-31,10.85,$-3.27,0.0
2021-09-30,13.19,$-1.95,0.0
2021-06-30,9.94,$-0.51,0.0
2021-03-31,8.01,$0.80,10.06
2020-12-31,6.82,$1.68,4.06
2020-09-30,4.93,$1.64,3.01
2020-06-30,4.42,$1.77,2.49
2020-03-31,3.52,$1.71,2.07
2019-12-31,7.36,$1.81,4.06
2019-09-30,4.62,$1.74,2.66
2019-06-30,3.83,$1.14,3.37
2019-03-31,3.82,$0.43,8.89
2018-12-31,3.16,$0.27,11.62
2018-09-30,4.59,$0.38,11.96
2018-06-30,5.57,$1.04,5.34
2018-03-31,4.29,$1.30,3.3
2017-12-31,3.91,$1.54,2.54
2017-09-30,4.12,$1.87,2.21
2017-06-30,4.8,$1.95,2.46
2017-03-31,4.31,$2.77,1.56
2016-12-31,3.57,$2.94,1.21
2016-09-30,5.74,$3.10,1.85
2016-06-30,4.68,$3.25,1.44
2016-03-31,5.27,$3.31,1.59
2015-12-31,5.92,$3.29,1.8
2015-09-30,6.83,$3.09,2.21
2015-06-30,10.07,$3.38,2.98
2015-03-31,9.51,$2.92,3.26
2014-12-31,9.35,$2.37,3.95
2014-09-30,11.5,$0.98,11.79
2014-06-30,12.06,$-1.50,0.0
2014-03-31,10.98,$-4.20,0.0
2013-12-31,9.2,$-5.91,0.0
2013-09-30,8.74,$-5.68,0.0
2013-06-30,8.41,$-4.51,0.0
2013-03-31,7.63,$-2.40,0.0
2012-12-31,6.57,$-1.01,0.0
2012-09-30,7.12,$-0.01,0.0
2012-06-30,6.3,$0.06,101.35
2012-03-31,6.13,$0.37,16.73
2011-12-31,6.19,$-1.57,0.0
2011-09-30,5.28,$-0.17,0.0
