Bunge Global SA Price to Free Cash Flow Ratio Historical Data,Bunge Global SA Price to Free Cash Flow Ratio Historical Data,Bunge Global SA Price to Free Cash Flow Ratio Historical Data,Bunge Global SA Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,73.95,,20.07
2024-12-31,77.76,$3.68,21.11
2024-09-30,95.93,$6.19,15.5
2024-06-30,105.24,$7.88,13.36
2024-03-31,100.39,$14.73,6.81
2023-12-31,98.13,$14.50,6.77
2023-09-30,104.57,$0.28,378.07
2023-06-30,90.61,$-10.01,0.0
2023-03-31,91.09,$-16.90,0.0
2022-12-31,94.55,$-39.86,0.0
2022-09-30,77.76,$-41.35,0.0
2022-06-30,84.88,$-41.64,0.0
2022-03-31,103.22,$-34.88,0.0
2021-12-31,86.52,$-21.61,0.0
2021-09-30,74.95,$-22.52,0.0
2021-06-30,71.54,$-25.49,0.0
2021-03-31,72.16,$-27.29,0.0
2020-12-31,59.32,$-26.06,0.0
2020-09-30,40.99,$-13.34,0.0
2020-06-30,36.49,$-11.28,0.0
2020-03-31,35.88,$-9.21,0.0
2019-12-31,49.88,$-9.41,0.0
2019-09-30,48.64,$-0.31,0.0
2019-06-30,47.43,$5.36,8.85
2019-03-31,44.75,$-2.74,0.0
2018-12-31,44.64,$-12.40,0.0
2018-09-30,56.91,$-24.91,0.0
2018-06-30,57.29,$-33.73,0.0
2018-03-31,60.36,$-26.44,0.0
2017-12-31,54.44,$-18.67,0.0
2017-09-30,55.98,$-20.94,0.0
2017-06-30,59.75,$-6.91,0.0
2017-03-31,63.1,$-7.45,0.0
2016-12-31,57.16,$-2.10,0.0
2016-09-30,46.58,$-0.78,0.0
2016-06-30,46.22,$-3.42,0.0
2016-03-31,44.0,$-1.63,0.0
2015-12-31,52.63,$-0.17,0.0
2015-09-30,56.18,$1.72,32.75
2015-06-30,66.96,$7.71,8.69
2015-03-31,62.58,$13.48,4.64
2014-12-31,68.78,$3.95,17.4
2014-09-30,63.49,$11.06,5.74
2014-06-30,56.78,$7.65,7.42
2014-03-31,59.45,$0.90,65.76
2013-12-31,61.16,$8.37,7.31
2013-09-30,56.33,$13.73,4.1
2013-06-30,52.31,$3.53,14.83
2013-03-31,54.37,$-7.59,0.0
2012-12-31,53.33,$-10.36,0.0
2012-09-30,49.01,$-16.84,0.0
2012-06-30,45.67,$-8.82,0.0
2012-03-31,49.61,$3.53,14.06
2011-12-31,41.31,$10.50,3.93
2011-09-30,41.93,$-3.95,0.0
2011-06-30,49.39,$-19.15,0.0
2011-03-31,51.65,$2.05,25.17
2010-12-31,46.64,$2.03,22.99
2010-09-30,41.95,$8.34,5.03
2010-06-30,34.73,$25.40,1.37
2010-03-31,43.34,$-2.54,0.0
2009-12-31,44.73,$-9.79,0.0
