Atmos Energy Price to Free Cash Flow Ratio Historical Data,Atmos Energy Price to Free Cash Flow Ratio Historical Data,Atmos Energy Price to Free Cash Flow Ratio Historical Data,Atmos Energy Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,150.82,,0.0
2024-12-31,139.27,$-8.24,0.0
2024-09-30,137.91,$-7.88,0.0
2024-06-30,115.27,$-8.02,0.0
2024-03-31,116.63,$-8.56,0.0
2023-12-31,112.91,$5.28,21.39
2023-09-30,102.46,$4.50,22.75
2023-06-30,111.82,$2.85,39.22
2023-03-31,107.31,$3.64,29.46
2022-12-31,106.35,$-10.24,0.0
2022-09-30,96.06,$-10.62,0.0
2022-06-30,105.12,$-10.06,0.0
2022-03-31,111.37,$-10.12,0.0
2021-12-31,97.03,$-25.82,0.0
2021-09-30,81.1,$-23.52,0.0
2021-06-30,87.81,$-22.30,0.0
2021-03-31,89.75,$-21.78,0.0
2020-12-31,86.07,$-6.73,0.0
2020-09-30,85.66,$-7.31,0.0
2020-06-30,88.73,$-7.02,0.0
2020-03-31,87.9,$-7.26,0.0
2019-12-31,98.61,$-6.90,0.0
2019-09-30,99.87,$-6.17,0.0
2019-06-30,92.12,$-5.91,0.0
2019-03-31,89.36,$-5.47,0.0
2018-12-31,80.08,$-3.37,0.0
2018-09-30,80.67,$-3.09,0.0
2018-06-30,77.03,$-2.39,0.0
2018-03-31,71.58,$-1.93,0.0
2017-12-31,72.55,$-2.76,0.0
2017-09-30,70.43,$-2.54,0.0
2017-06-30,69.33,$-1.91,0.0
2017-03-31,65.65,$-2.08,0.0
2016-12-31,61.28,$-2.39,0.0
2016-09-30,61.16,$-2.82,0.0
2016-06-30,66.41,$-3.51,0.0
2016-03-31,60.3,$-3.27,0.0
2015-12-31,50.88,$-1.33,0.0
2015-09-30,46.65,$-1.48,0.0
2015-06-30,40.83,$-1.21,0.0
2015-03-31,43.71,$-1.34,0.0
2014-12-31,43.74,$-1.65,0.0
2014-09-30,37.16,$-0.94,0.0
2014-06-30,41.29,$0.70,58.71
2014-03-31,36.18,$0.65,55.52
2013-12-31,34.58,$-0.70,0.0
2013-09-30,32.16,$-0.86,0.0
2013-06-30,30.75,$-2.63,0.0
2013-03-31,31.72,$-2.29,0.0
2012-12-31,25.86,$-1.48,0.0
2012-09-30,26.08,$-1.60,0.0
2012-06-30,25.31,$-1.64,0.0
2012-03-31,22.46,$-2.01,0.0
2011-12-31,23.55,$-1.46,0.0
2011-09-30,22.67,$-0.44,0.0
2011-06-30,22.99,$0.92,25.07
2011-03-31,23.34,$1.41,16.59
2010-12-31,21.14,$1.35,15.62
2010-09-30,19.6,$1.99,9.85
2010-06-30,17.9,$1.72,10.43
2010-03-31,18.68,$2.86,6.53
2009-12-31,18.98,$4.25,4.46
