Oric Pharmaceuticals Price to Free Cash Flow Ratio Historical Data,Oric Pharmaceuticals Price to Free Cash Flow Ratio Historical Data,Oric Pharmaceuticals Price to Free Cash Flow Ratio Historical Data,Oric Pharmaceuticals Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,7.51,,0.0
2024-12-31,8.07,$-1.63,0.0
2024-09-30,10.25,$-1.81,0.0
2024-06-30,7.07,$-1.55,0.0
2024-03-31,13.75,$-1.67,0.0
2023-12-31,9.2,$-1.68,0.0
2023-09-30,6.05,$-1.47,0.0
2023-06-30,7.76,$-1.82,0.0
2023-03-31,5.7,$-1.82,0.0
2022-12-31,5.89,$-1.95,0.0
2022-09-30,3.2,$-2.03,0.0
2022-06-30,4.48,$-1.80,0.0
2022-03-31,5.34,$-1.78,0.0
2021-12-31,14.7,$-1.59,0.0
2021-09-30,20.91,$-2.30,0.0
2021-06-30,17.69,$-2.11,0.0
2021-03-31,24.5,$-2.50,0.0
