Moving IMage Technologies Price to Free Cash Flow Ratio Historical Data,Moving IMage Technologies Price to Free Cash Flow Ratio Historical Data,Moving IMage Technologies Price to Free Cash Flow Ratio Historical Data,Moving IMage Technologies Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.57,,10.26
2024-12-31,0.65,$0.06,11.65
2024-09-30,0.57,$-0.06,0.0
2024-06-30,0.62,$-0.08,0.0
2024-03-31,0.48,$0.05,8.96
2023-12-31,0.95,$-0.04,0.0
2023-09-30,0.87,$0.01,0.0
2023-06-30,1.17,$0.02,50.21
2023-03-31,1.02,$-0.30,0.0
2022-12-31,1.15,$-0.12,0.0
2022-09-30,1.1,$-0.25,0.0
2022-06-30,1.3,$-0.32,0.0
