IDEX Price to Free Cash Flow Ratio Historical Data,IDEX Price to Free Cash Flow Ratio Historical Data,IDEX Price to Free Cash Flow Ratio Historical Data,IDEX Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,183.73,,23.13
2024-12-31,209.29,$7.94,26.34
2024-09-30,213.8,$8.24,25.95
2024-06-30,199.87,$8.43,23.7
2024-03-31,241.66,$8.46,28.57
2023-12-31,214.35,$8.26,25.96
2023-09-30,204.74,$7.82,26.18
2023-06-30,211.23,$7.42,28.47
2023-03-31,226.01,$7.12,31.74
2022-12-31,222.8,$6.44,34.6
2022-09-30,194.44,$6.30,30.89
2022-06-30,176.13,$5.82,30.24
2022-03-31,185.32,$6.12,30.27
2021-12-31,227.88,$6.45,35.34
2021-09-30,199.05,$6.56,30.34
2021-06-30,211.14,$6.50,32.51
2021-03-31,200.36,$7.08,28.31
2020-12-31,190.2,$6.78,28.07
2020-09-30,173.71,$6.66,26.07
2020-06-30,150.05,$6.78,22.12
2020-03-31,130.69,$6.18,21.15
2019-12-31,162.29,$6.24,26.02
2019-09-30,154.14,$6.23,24.73
2019-06-30,161.44,$5.81,27.8
2019-03-31,141.84,$5.67,25.02
2018-12-31,117.65,$5.46,21.54
2018-09-30,139.94,$5.26,26.61
2018-06-30,126.38,$5.33,23.69
2018-03-31,131.55,$4.93,26.7
2017-12-31,121.49,$5.11,23.79
2017-09-30,111.49,$4.92,22.67
2017-06-30,103.39,$4.84,21.35
2017-03-31,85.25,$4.88,17.47
2016-12-31,81.8,$4.71,17.36
2016-09-30,84.66,$4.45,19.04
2016-06-30,73.98,$4.33,17.09
2016-03-31,74.38,$4.38,16.99
2015-12-31,68.44,$4.07,16.81
2015-09-30,63.43,$4.04,15.69
2015-06-30,69.62,$3.81,18.26
2015-03-31,66.9,$3.70,18.06
2014-12-31,68.41,$3.98,17.18
2014-09-30,63.34,$4.02,15.78
2014-06-30,70.42,$4.25,16.57
2014-03-31,63.33,$4.49,14.1
2013-12-31,63.96,$4.49,14.24
2013-09-30,56.31,$4.29,13.12
2013-06-30,46.25,$4.04,11.45
2013-03-31,45.71,$3.65,12.52
2012-12-31,39.65,$3.47,11.42
2012-09-30,35.42,$2.96,11.96
2012-06-30,32.87,$2.87,11.44
2012-03-31,35.36,$2.72,13.01
2011-12-31,31.01,$2.33,13.3
2011-09-30,25.91,$2.19,11.85
2011-06-30,37.98,$1.81,20.98
2011-03-31,36.01,$1.84,19.53
2010-12-31,32.15,$1.87,17.18
2010-09-30,29.07,$2.20,13.2
2010-06-30,23.27,$2.52,9.25
2010-03-31,26.84,$2.43,11.06
2009-12-31,25.17,$2.37,10.63
