Greenpro Capital Price to Free Cash Flow Ratio Historical Data,Greenpro Capital Price to Free Cash Flow Ratio Historical Data,Greenpro Capital Price to Free Cash Flow Ratio Historical Data,Greenpro Capital Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.91,,0.0
2024-09-30,0.97,$-0.21,0.0
2024-06-30,1.06,$-0.19,0.0
2024-03-31,1.4,$-0.19,0.0
2023-12-31,1.18,$-0.22,0.0
2023-09-30,1.0,$-0.20,0.0
2023-06-30,1.82,$-0.30,0.0
2023-03-31,1.49,$-0.30,0.0
2022-12-31,1.08,$-0.31,0.0
2022-09-30,1.35,$-0.25,0.0
2022-06-30,2.14,$-0.43,0.0
2022-03-31,4.4,$-0.27,0.0
2021-12-31,6.19,$-0.30,0.0
2021-09-30,6.22,$-0.45,0.0
2021-06-30,13.2,$-0.14,0.0
2021-03-31,25.9,$-0.30,0.0
2020-12-31,20.5,$-0.27,0.0
2020-09-30,14.5,$-0.18,0.0
2020-06-30,16.6,$-0.24,0.0
2020-03-31,3.76,$-0.25,0.0
2019-12-31,5.7,$-0.26,0.0
2019-09-30,9.76,$-0.27,0.0
2019-06-30,11.5,$-0.35,0.0
2019-03-31,20.2,$-0.30,0.0
