Archrock Price to Free Cash Flow Ratio Historical Data,Archrock Price to Free Cash Flow Ratio Historical Data,Archrock Price to Free Cash Flow Ratio Historical Data,Archrock Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,26.69,,31.37
2024-12-31,24.89,$0.85,29.25
2024-09-30,20.09,$0.75,26.69
2024-06-30,19.89,$0.97,20.53
2024-03-31,19.19,$0.67,28.67
2023-12-31,14.87,$0.54,27.4
2023-09-30,12.03,$0.04,281.81
2023-06-30,9.67,$-0.26,0.0
2023-03-31,9.08,$-0.14,0.0
2022-12-31,8.22,$-0.10,0.0
2022-09-30,5.77,$0.10,56.23
2022-06-30,7.3,$0.37,19.6
2022-03-31,8.0,$0.86,9.3
2021-12-31,6.37,$1.11,5.72
2021-09-30,6.91,$1.49,4.64
2021-06-30,7.34,$1.72,4.25
2021-03-31,7.7,$1.72,4.49
2020-12-31,6.92,$1.42,4.88
2020-09-30,4.22,$1.06,3.97
2020-06-30,4.99,$0.79,6.32
2020-03-31,2.8,$0.41,6.88
2019-12-31,7.36,$-0.10,0.0
2019-09-30,7.2,$-0.35,0.0
2019-06-30,7.54,$-0.97,0.0
2019-03-31,6.86,$-0.96,0.0
2018-12-31,5.18,$-0.54,0.0
2018-09-30,8.34,$-0.28,0.0
2018-06-30,8.12,$0.16,50.14
2018-03-31,5.85,$0.06,91.05
2017-12-31,6.94,$0.39,17.95
2017-09-30,8.2,$1.01,8.09
2017-06-30,7.36,$1.85,3.98
2017-03-31,7.92,$2.94,2.69
2016-12-31,8.37,$2.88,2.91
2016-09-30,8.2,$4.97,1.65
