Ring Energy Price to Free Cash Flow Ratio Historical Data,Ring Energy Price to Free Cash Flow Ratio Historical Data,Ring Energy Price to Free Cash Flow Ratio Historical Data,Ring Energy Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.24,,5.72
2024-12-31,1.36,$0.22,6.27
2024-09-30,1.6,$0.25,6.51
2024-06-30,1.69,$0.27,6.37
2024-03-31,1.96,$0.27,7.16
2023-12-31,1.46,$0.28,5.21
2023-09-30,1.95,$0.35,5.56
2023-06-30,1.71,$0.46,3.69
2023-03-31,1.9,$0.42,4.55
2022-12-31,2.46,$0.46,5.29
2022-09-30,2.32,$0.37,6.33
2022-06-30,2.66,$0.19,14.32
2022-03-31,3.82,$0.21,18.38
2021-12-31,2.28,$0.16,14.18
2021-09-30,2.95,$0.35,8.38
2021-06-30,2.98,$0.49,6.03
2021-03-31,2.31,$0.39,5.99
2020-12-31,0.66,$0.39,1.7
2020-09-30,0.68,$4.17,0.16
2020-06-30,1.16,$3.89,0.3
2020-03-31,0.66,$0.02,31.98
2019-12-31,2.64,$-0.73,0.0
2019-09-30,1.64,$-5.16,0.0
2019-06-30,3.25,$-5.48,0.0
2019-03-31,5.87,$-2.04,0.0
2018-12-31,5.08,$-2.19,0.0
2018-09-30,9.91,$-2.29,0.0
2018-06-30,12.62,$-2.34,0.0
2018-03-31,14.35,$-2.71,0.0
2017-12-31,13.9,$-2.10,0.0
2017-09-30,14.49,$-1.83,0.0
2017-06-30,13.0,$-1.47,0.0
2017-03-31,10.82,$-0.73,0.0
2016-12-31,12.99,$-0.66,0.0
2016-09-30,10.95,$-0.80,0.0
2016-06-30,8.82,$-0.44,0.0
2016-03-31,5.05,$-3.13,0.0
2015-12-31,7.05,$-3.56,0.0
2015-09-30,9.87,$-4.04,0.0
2015-06-30,11.19,$-4.80,0.0
2015-03-31,10.62,$-2.82,0.0
2014-12-31,10.5,$-2.80,0.0
2014-09-30,14.74,$-2.61,0.0
2014-06-30,17.45,$-2.60,0.0
2014-03-31,15.26,$-2.06,0.0
2013-12-31,12.2,$-1.60,0.0
2013-09-30,14.5,$-1.82,0.0
2013-06-30,8.76,$-1.37,0.0
2013-03-31,6.95,$-1.30,0.0
2012-12-31,5.86,$-1.29,0.0
2012-09-30,5.82,$-0.67,0.0
2012-06-30,5.12,$-0.89,0.0
2012-03-31,5.1,$-1.00,0.0
2011-12-31,4.0,$-0.89,0.0
2011-09-30,4.5,$-0.62,0.0
2011-06-30,12.2,$-0.34,0.0
2011-03-31,4.0,$-0.02,0.0
2010-12-31,4.0,$-0.02,0.0
2010-09-30,4.0,$-0.01,0.0
2010-06-30,4.0,$-0.01,0.0
2010-03-31,4.0,$-0.00,0.0
2009-12-31,4.0,0,0.0
