Bruker Price to Free Cash Flow Ratio Historical Data,Bruker Price to Free Cash Flow Ratio Historical Data,Bruker Price to Free Cash Flow Ratio Historical Data,Bruker Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,44.47,,48.49
2024-12-31,58.62,$0.92,63.92
2024-09-30,69.0,$1.08,64.13
2024-06-30,63.71,$1.15,55.25
2024-03-31,93.72,$1.24,75.71
2023-12-31,73.26,$1.73,42.41
2023-09-30,62.07,$1.46,42.51
2023-06-30,73.59,$1.42,51.8
2023-03-31,78.43,$1.09,72.05
2022-12-31,67.95,$1.06,63.8
2022-09-30,52.71,$0.88,60.24
2022-06-30,62.29,$0.86,72.8
2022-03-31,63.76,$1.26,50.47
2021-12-31,83.15,$1.28,65.1
2021-09-30,77.36,$1.68,46.11
2021-06-30,75.22,$2.04,36.93
2021-03-31,63.6,$1.98,32.15
2020-12-31,53.52,$1.52,35.18
2020-09-30,39.27,$1.08,36.28
2020-06-30,40.15,$0.96,41.66
2020-03-31,35.36,$0.97,36.34
2019-12-31,50.22,$0.97,51.94
2019-09-30,43.25,$0.99,43.51
2019-06-30,49.13,$0.79,61.87
2019-03-31,37.77,$1.01,37.31
2018-12-31,29.22,$1.21,24.06
2018-09-30,32.8,$1.10,29.77
2018-06-30,28.44,$1.16,24.55
2018-03-31,29.26,$0.82,35.67
2017-12-31,33.52,$0.77,43.64
2017-09-30,29.02,$0.66,44.12
2017-06-30,28.1,$0.67,42.12
2017-03-31,22.7,$0.89,25.58
2016-12-31,20.57,$0.58,35.19
2016-09-30,21.96,$0.91,24.13
2016-06-30,22.01,$1.01,21.83
2016-03-31,27.06,$0.90,29.97
2015-12-31,23.42,$1.16,20.22
2015-09-30,15.85,$0.71,22.36
2015-06-30,19.69,$0.48,41.43
2015-03-31,17.82,$0.56,31.81
2014-12-31,18.93,$0.49,38.39
2014-09-30,17.87,$0.85,20.9
2014-06-30,23.42,$0.99,23.6
2014-03-31,21.99,$0.82,26.81
2013-12-31,19.08,$0.57,33.45
2013-09-30,19.93,$0.25,79.42
2013-06-30,15.58,$-0.03,0.0
2013-03-31,18.43,$0.22,82.2
2012-12-31,14.7,$0.38,38.7
2012-09-30,12.63,$0.43,29.69
2012-06-30,12.84,$0.62,20.78
2012-03-31,14.77,$0.40,36.99
2011-12-31,11.98,$0.20,60.07
2011-09-30,13.06,$0.25,51.26
2011-06-30,19.65,$0.17,115.16
2011-03-31,20.12,$0.53,38.0
2010-12-31,16.02,$0.77,20.92
2010-09-30,13.54,$0.71,19.06
2010-06-30,11.73,$0.80,14.72
2010-03-31,14.14,$0.75,18.74
2009-12-31,11.64,$0.81,14.37
