Douglas Dynamics Price to Free Cash Flow Ratio Historical Data,Douglas Dynamics Price to Free Cash Flow Ratio Historical Data,Douglas Dynamics Price to Free Cash Flow Ratio Historical Data,Douglas Dynamics Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,24.03,,16.95
2024-12-31,23.63,$1.42,16.67
2024-09-30,27.26,$1.63,16.71
2024-06-30,22.88,$2.25,10.17
2024-03-31,23.29,$1.69,13.76
2023-12-31,28.29,$0.08,333.67
2023-09-30,28.49,$1.74,16.39
2023-06-30,27.94,$0.89,31.29
2023-03-31,29.53,$-0.16,0.0
2022-12-31,33.18,$1.22,27.17
2022-09-30,25.5,$-0.33,0.0
2022-06-30,25.9,$-1.01,0.0
2022-03-31,30.85,$-0.04,0.0
2021-12-31,34.54,$2.15,16.08
2021-09-30,31.85,$2.14,14.91
2021-06-30,35.43,$2.56,13.85
2021-03-31,39.91,$3.16,12.63
2020-12-31,36.77,$1.70,21.61
2020-09-30,29.21,$2.55,11.44
2020-06-30,29.77,$2.65,11.23
2020-03-31,29.87,$2.66,11.22
2019-12-31,45.78,$2.88,15.88
2019-09-30,36.92,$1.93,19.11
2019-06-30,32.75,$1.58,20.75
2019-03-31,31.12,$1.28,24.25
2018-12-31,29.13,$2.14,13.64
2018-09-30,35.36,$1.80,19.66
2018-06-30,38.44,$2.46,15.65
2018-03-31,34.52,$3.04,11.34
2017-12-31,29.93,$2.60,11.5
2017-09-30,31.0,$2.23,13.91
2017-06-30,25.72,$2.08,12.37
2017-03-31,23.77,$2.03,11.72
2016-12-31,25.89,$2.67,9.69
2016-09-30,24.41,$3.11,7.84
2016-06-30,19.51,$2.80,6.96
2016-03-31,17.2,$2.40,7.16
2015-12-31,15.66,$2.08,7.53
2015-09-30,14.61,$2.35,6.23
2015-06-30,15.63,$2.12,7.39
2015-03-31,16.45,$2.28,7.22
2014-12-31,15.29,$2.23,6.85
2014-09-30,13.77,$1.66,8.3
2014-06-30,12.31,$2.37,5.19
2014-03-31,12.02,$2.10,5.71
2013-12-31,11.46,$1.34,8.58
2013-09-30,9.91,$1.00,9.9
2013-06-30,8.62,$0.87,9.96
2013-03-31,9.03,$0.76,11.87
2012-12-31,9.27,$0.65,14.29
2012-09-30,9.38,$1.34,6.99
2012-06-30,8.92,$1.43,6.23
2012-03-31,8.47,$1.07,7.94
2011-12-31,8.86,$2.08,4.26
2011-09-30,7.64,$1.66,4.61
2011-06-30,9.3,$1.94,4.79
2011-03-31,8.29,$1.21,6.83
