Espey Mfg & Electronics Price to Free Cash Flow Ratio Historical Data,Espey Mfg & Electronics Price to Free Cash Flow Ratio Historical Data,Espey Mfg & Electronics Price to Free Cash Flow Ratio Historical Data,Espey Mfg & Electronics Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,26.65,,8.65
2024-12-31,30.15,$3.08,9.79
2024-09-30,30.09,$2.26,13.29
2024-06-30,21.03,$2.14,9.82
2024-03-31,24.78,$-0.29,0.0
2023-12-31,18.23,$0.49,37.08
2023-09-30,15.61,$1.15,13.57
2023-06-30,16.04,$1.37,11.69
2023-03-31,19.29,$3.32,5.81
2022-12-31,13.45,$2.58,5.21
2022-09-30,13.07,$0.53,24.68
2022-06-30,13.49,$0.79,17.11
2022-03-31,13.17,$-0.42,0.0
2021-12-31,13.46,$-0.90,0.0
2021-09-30,13.79,$0.30,45.91
2021-06-30,14.04,$0.23,61.26
2021-03-31,14.4,$1.32,10.88
2020-12-31,17.92,$1.18,15.24
2020-09-30,17.55,$1.45,12.11
2020-06-30,16.0,$2.40,6.66
2020-03-31,16.53,$2.16,7.65
2019-12-31,19.41,$2.08,9.35
2019-09-30,21.07,$0.69,30.39
2019-06-30,21.76,$-1.76,0.0
2019-03-31,21.54,$-2.86,0.0
2018-12-31,21.47,$-2.29,0.0
2018-09-30,25.49,$-1.55,0.0
2018-06-30,22.0,$-0.71,0.0
2018-03-31,21.28,$0.84,25.39
2017-12-31,19.28,$1.38,13.96
2017-09-30,17.91,$1.54,11.6
2017-06-30,17.64,$2.61,6.76
2017-03-31,17.9,$2.46,7.27
2016-12-31,20.08,$2.16,9.31
2016-09-30,19.28,$2.07,9.32
2016-06-30,19.66,$2.38,8.27
2016-03-31,18.41,$1.59,11.55
2015-12-31,19.08,$1.11,17.19
2015-09-30,18.02,$1.16,15.51
2015-06-30,18.89,$0.18,106.66
2015-03-31,21.31,$1.32,16.13
2014-12-31,16.98,$1.78,9.54
2014-09-30,14.21,$1.42,9.98
2014-06-30,17.54,$2.05,8.57
2014-03-31,18.84,$1.81,10.42
2013-12-31,22.37,$2.31,9.67
2013-09-30,18.88,$2.25,8.37
2013-06-30,16.81,$1.32,12.72
2013-03-31,16.78,$1.54,10.93
2012-12-31,16.17,$1.68,9.63
2012-09-30,16.09,$2.49,6.46
2012-06-30,16.0,$3.23,4.95
2012-03-31,14.86,$2.94,5.06
2011-12-31,13.87,$2.28,6.09
2011-09-30,13.12,$2.11,6.21
2011-06-30,13.84,$2.00,6.91
2011-03-31,13.88,$2.84,4.89
2010-12-31,13.1,$2.65,4.94
2010-09-30,11.32,$2.72,4.17
2010-06-30,9.77,$3.03,3.23
2010-03-31,10.29,$2.07,4.97
2009-12-31,9.68,$1.68,5.77
