Evans Bancorp Price to Free Cash Flow Ratio Historical Data,Evans Bancorp Price to Free Cash Flow Ratio Historical Data,Evans Bancorp Price to Free Cash Flow Ratio Historical Data,Evans Bancorp Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,39.39,,0.0
2024-12-31,43.3,$-0.56,0.0
2024-09-30,38.97,$1.31,29.86
2024-06-30,27.64,$-0.24,0.0
2024-03-31,29.36,$2.37,12.39
2023-12-31,30.32,$2.84,10.66
2023-09-30,25.77,$3.32,7.76
2023-06-30,23.41,$4.21,5.57
2023-03-31,31.53,$4.45,7.08
2022-12-31,34.51,$4.59,7.52
2022-09-30,33.82,$4.47,7.57
2022-06-30,30.85,$3.83,8.05
2022-03-31,34.49,$2.91,11.83
2021-12-31,36.0,$3.65,9.87
2021-09-30,34.22,$1.79,19.17
2021-06-30,32.63,$2.15,15.16
2021-03-31,29.81,$0.32,91.91
2020-12-31,23.81,$0.66,36.2
2020-09-30,19.24,$2.30,8.38
2020-06-30,19.61,$1.24,15.85
2020-03-31,20.5,$3.86,5.31
2019-12-31,33.14,$3.34,9.91
2019-09-30,30.91,$3.88,7.96
2019-06-30,30.73,$5.00,6.15
2019-03-31,29.04,$4.87,5.96
2018-12-31,26.48,$4.87,5.44
2018-09-30,38.24,$3.57,10.71
2018-06-30,37.18,$3.54,10.51
2018-03-31,36.5,$2.99,12.21
2017-12-31,33.46,$2.67,12.51
2017-09-30,34.49,$3.25,10.62
2017-06-30,31.58,$2.28,13.87
2017-03-31,30.35,$2.10,14.44
2016-12-31,24.68,$2.31,10.66
2016-09-30,21.4,$1.15,18.56
2016-06-30,19.01,$1.69,11.26
2016-03-31,18.83,$2.10,8.96
2015-12-31,19.55,$1.44,13.56
2015-09-30,18.86,$2.60,7.24
2015-06-30,18.15,$2.53,7.17
2015-03-31,18.56,$2.22,8.38
2014-12-31,17.94,$2.45,7.33
2014-09-30,17.01,$2.05,8.3
2014-06-30,16.84,$2.23,7.54
2014-03-31,16.55,$2.63,6.29
2013-12-31,15.14,$2.84,5.34
2013-09-30,14.04,$2.96,4.74
2013-06-30,12.43,$2.39,5.2
2013-03-31,12.85,$2.01,6.4
2012-12-31,10.97,$2.55,4.31
2012-09-30,10.98,$2.94,3.74
2012-06-30,11.34,$3.29,3.45
2012-03-31,9.8,$3.27,2.99
2011-12-31,8.07,$2.46,3.28
2011-09-30,7.45,$1.65,4.51
2011-06-30,9.13,$1.35,6.76
2011-03-31,9.43,$1.14,8.26
2010-12-31,9.37,$1.89,4.95
2010-09-30,8.74,$2.14,4.09
2010-06-30,8.19,$2.64,3.1
2010-03-31,9.75,$3.46,2.82
2009-12-31,7.24,$3.76,1.93
