Radio One Price to Free Cash Flow Ratio Historical Data,Radio One Price to Free Cash Flow Ratio Historical Data,Radio One Price to Free Cash Flow Ratio Historical Data,Radio One Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.41,,0.0
2024-09-30,1.76,$-0.26,0.0
2024-06-30,1.99,$-0.16,0.0
2024-03-31,2.7,$0.18,14.82
2023-12-31,4.03,$0.59,6.87
2023-09-30,5.02,$0.41,12.18
2023-06-30,5.99,$0.69,8.67
2023-03-31,7.55,$0.73,10.3
2022-12-31,4.55,$0.67,6.82
2022-09-30,5.29,$1.81,2.93
2022-06-30,5.46,$1.17,4.66
2022-03-31,6.25,$1.49,4.2
2021-12-31,4.65,$1.51,3.07
2021-09-30,8.12,$0.92,8.87
2021-06-30,8.67,$2.00,4.34
2021-03-31,5.39,$1.39,3.87
2020-12-31,4.21,$1.56,2.69
2020-09-30,5.73,$1.46,3.93
2020-06-30,20.25,$1.45,13.96
2020-03-31,1.06,$1.49,0.71
2019-12-31,2.02,$1.40,1.45
2019-09-30,1.94,$1.41,1.37
2019-06-30,2.1,$1.04,2.03
2019-03-31,2.48,$1.02,2.44
2018-12-31,2.09,$1.12,1.86
2018-09-30,2.4,$1.12,2.14
2018-06-30,2.43,$0.95,2.56
2018-03-31,2.0,$0.86,2.33
2017-12-31,1.85,$0.32,5.79
2017-09-30,1.65,$0.48,3.48
2017-06-30,2.25,$0.72,3.1
2017-03-31,3.2,$0.63,5.09
2016-12-31,2.95,$0.86,3.44
2016-09-30,2.94,$0.82,3.6
2016-06-30,3.13,$0.38,8.16
2016-03-31,1.45,$0.91,1.59
2015-12-31,1.65,$0.72,2.3
2015-09-30,2.2,$1.12,1.96
2015-06-30,3.3,$1.20,2.75
2015-03-31,3.01,$1.13,2.67
2014-12-31,1.64,$1.02,1.61
2014-09-30,3.05,$0.65,4.7
2014-06-30,4.9,$0.91,5.41
2014-03-31,4.71,$0.46,10.21
2013-12-31,3.8,$0.58,6.6
2013-09-30,2.62,$0.59,4.45
2013-06-30,2.47,$0.41,6.01
2013-03-31,1.74,$0.42,4.14
2012-12-31,0.72,$0.66,1.09
2012-09-30,0.81,$0.60,1.35
2012-06-30,0.91,$0.72,1.26
2012-03-31,1.05,$0.50,2.1
2011-12-31,0.95,$0.42,2.24
2011-09-30,1.21,$0.23,5.24
2011-06-30,1.71,$0.10,17.1
2011-03-31,2.08,$0.42,4.97
2010-12-31,1.15,$0.26,4.38
2010-09-30,1.07,$0.61,1.75
2010-06-30,1.4,$0.60,2.32
2010-03-31,3.2,$0.62,5.17
2009-12-31,3.03,$0.69,4.4
