Cyclerion Therapeutics Price to Free Cash Flow Ratio Historical Data,Cyclerion Therapeutics Price to Free Cash Flow Ratio Historical Data,Cyclerion Therapeutics Price to Free Cash Flow Ratio Historical Data,Cyclerion Therapeutics Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,2.71,,0.0
2024-12-31,3.22,$-1.72,0.0
2024-09-30,2.59,$-3.87,0.0
2024-06-30,2.3,$-4.68,0.0
2024-03-31,3.2,$-6.98,0.0
2023-12-31,3.35,$-9.09,0.0
2023-09-30,3.42,$-10.32,0.0
2023-06-30,4.12,$-13.40,0.0
2023-03-31,8.68,$-15.63,0.0
2022-12-31,13.12,$-18.69,0.0
2022-09-30,17.2,$-21.14,0.0
2022-06-30,10.98,$-18.44,0.0
2022-03-31,22.2,$-16.20,0.0
2021-12-31,34.4,$-17.91,0.0
2021-09-30,61.4,$-22.58,0.0
2021-06-30,78.0,$-25.78,0.0
2021-03-31,55.8,$-33.23,0.0
2020-12-31,61.2,$-47.67,0.0
2020-09-30,121.6,$-53.69,0.0
2020-06-30,118.2,$-66.34,0.0
2020-03-31,53.0,$-101.64,0.0
